Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 191	2288.08	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 192	2298.46	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 193	2308.84	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 194	2319.23	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 195	2329.61	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 196	2339.99	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 197	2350.37	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 198	2360.76	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 199	2371.14	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 200	2381.52	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 201	2391.9	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 202	2402.29	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 203	2412.67	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 204	2423.05	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 205	2433.43	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 206	2443.82	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 207	2454.2	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 208	2464.58	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
Seg 209	2474.96	54.33	24.15	14.6979	4.39624	5.05584	0.608609	0.182039	0.209352
