KVALUES
Results of phase equilibrium constant Ki at temperature = 620

P(psia)  K[1]	K[2]	K[3]	K[4]	K[5]	K[6]	
     167    19.20769     1.91305   0.1173882  0.003778813  8.165032e-005  1.672061e-006  
     168    19.09665    1.902918   0.1168437  0.003764617  8.14313e-005  1.66933e-006  
     169    18.98693    1.892906   0.1163059  0.003750607  8.121568e-005  1.666661e-006  
     170     18.8785    1.883013   0.1157746  0.003736777  8.10034e-005  1.664053e-006  
     171    18.77134    1.873236   0.1152496  0.003723126  8.07944e-005  1.661505e-006  
     172    18.66543    1.863574    0.114731  0.00370965  8.058864e-005  1.659015e-006  
     173    18.56074    1.854024   0.1142185  0.003696346  8.038605e-005  1.656583e-006  
     174    18.45725    1.844585   0.1137121  0.003683212  8.018658e-005  1.654209e-006  
     175    18.35495    1.835254   0.1132116  0.003670244  7.999019e-005  1.65189e-006  
     176    18.25382    1.826029    0.112717  0.003657439  7.979682e-005  1.649627e-006  
     177    18.15382     1.81691   0.1122282  0.003644795  7.960642e-005  1.647418e-006  
     178    18.05495    1.807894    0.111745  0.003632309  7.941895e-005  1.645263e-006  
     179    17.95719    1.798979   0.1112674  0.003619979  7.923436e-005  1.643161e-006  
     180    17.86052    1.790163   0.1107952  0.003607802  7.90526e-005  1.641111e-006  
     181    17.76491    1.781446   0.1103285  0.003595775  7.887364e-005  1.639112e-006  
     182    17.67035    1.772825    0.109867  0.003583897  7.869742e-005  1.637164e-006  
     183    17.57683      1.7643   0.1094108  0.003572164  7.85239e-005  1.635266e-006  
     184    17.48433    1.755867   0.1089597  0.003560574  7.835305e-005  1.633418e-006  
     185    17.39282    1.747526   0.1085136  0.003549126  7.818482e-005  1.631617e-006  
     186    17.30231    1.739276   0.1080725  0.003537816  7.801917e-005  1.629865e-006  
     187    17.21276    1.731114   0.1076363  0.003526642  7.785606e-005  1.62816e-006  
     188    17.12416     1.72304   0.1072049  0.003515604  7.769546e-005  1.626502e-006  
     189     17.0365    1.715052   0.1067782  0.003504697  7.753732e-005  1.62489e-006  
