 % Watched Cells Output (dead cell outpus 'd' if any)
time	pres(0)	sat(0)	sat(0)	pres(499)	sat(499)	sat(499)	
day	psi	**	**	psi	**	**	
594.1055	3178.356	1	0	2554.354	0.5283462	0.4716538	
614.1055	3176.901	1	0	2553.631	0.528423	0.471577	
634.1055	3175.521	1	0	2552.939	0.5284924	0.4715076	
654.1055	3174.21	1	0	2552.281	0.5285551	0.4714449	
674.1055	3172.962	1	0	2551.655	0.5286114	0.4713886	
694.1055	3171.775	1	0	2551.06	0.5286607	0.4713393	
714.1055	3170.638	1	0	2550.495	0.5287034	0.4712966	
734.1055	3169.531	1	0	2549.969	0.5287404	0.4712596	
754.1055	3168.456	1	0	2549.483	0.528772	0.471228	
774.1055	3167.386	1	0	2549.047	0.5287996	0.4712004	
794.1055	3166.349	1	0	2548.658	0.5288227	0.4711773	
814.1055	3165.349	1	0	2548.304	0.5288392	0.4711608	
834.1055	3164.378	1	0	2547.991	0.52885	0.47115	
854.1055	3163.491	1	0	2547.679	0.5288507	0.4711493	
874.1055	3162.64	1	0	2547.396	0.5288452	0.4711548	
894.1055	3161.898	1	0	2547.099	0.5288316	0.4711684	
904.1055	3161.538	1	0	2546.951	0.5288232	0.4711768	
922.0984	3160.855	1	0	2546.72	0.5288116	0.4711884	
930.8404	3160.543	1	0	2546.612	0.528807	0.471193	
939.0815	3160.245	1	0	2546.52	0.5288041	0.4711959	
946.2665	3160.002	1	0	2546.44	0.5288024	0.4711976	
964.7143	3159.451	1	0	2546.214	0.5287961	0.4712039	
969.7143	3159.305	1	0	2546.153	0.5287941	0.4712059	
982.871	3158.863	1	0	2546.035	0.5287944	0.4712056	
989.3655	3158.654	1	0	2545.981	0.5287964	0.4712036	
1004.542	3158.22	1	0	2545.849	0.528803	0.471197	
1014.542	3157.949	1	0	2545.758	0.5288067	0.4711933	
1034.542	3157.429	1	0	2545.585	0.5288136	0.4711864	
1054.542	3156.877	1	0	2545.46	0.528828	0.471172	
1074.542	3156.391	1	0	2545.327	0.5288425	0.4711575	
1094.542	3155.924	1	0	2545.214	0.5288581	0.4711419	
1114.542	3155.481	1	0	2545.098	0.5288721	0.4711279	
1122.103	3155.324	1	0	2545.053	0.528877	0.471123	
1141.724	3154.956	1	0	2544.928	0.5288858	0.4711142	
1161.724	3154.586	1	0	2544.821	0.5288954	0.4711046	
1181.724	3154.18	1	0	2544.777	0.5289129	0.4710871	
1200.227	3153.84	1	0	2544.72	0.5289256	0.4710744	
1212.544	3153.638	1	0	2544.673	0.5289303	0.4710697	
1232.544	3153.321	1	0	2544.61	0.5289331	0.4710669	
1252.544	3152.993	1	0	2544.585	0.5289371	0.4710629	
1258.486	3152.897	1	0	2544.579	0.5289384	0.4710616	
1272.652	3152.677	1	0	2544.568	0.5289396	0.4710604	
1292.652	3152.357	1	0	2544.577	0.5289378	0.4710622	
1312.652	3152.074	1	0	2544.564	0.5289257	0.4710743	
1332.652	3151.807	1	0	2544.551	0.5289044	0.4710956	
1342.652	3151.663	1	0	2544.552	0.5288926	0.4711074	
1345.734	3151.62	1	0	2544.552	0.5288889	0.4711111	
1354.262	3151.511	1	0	2544.551	0.5288774	0.4711226	
1374.262	3151.295	1	0	2544.533	0.5288401	0.4711599	
1394.262	3151.104	1	0	2544.492	0.5287906	0.4712094	
1400	3151.053	1	0	2544.48	0.5287754	0.4712246	
