Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)
days	psi	Mscf/d	stb/d
0         	0         	-         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 21	5072.07	40.33	1.22333	0.00623854	1.21709	0	0.0050985	0.994901	0
Seg 22	5097.6	40.33	1.21968	0.00249058	1.21719	0	0.00204154	0.997958	0
Seg 23	5123.08	40.33	1.21707	0	1.21707	0	0	1	0
Seg 24	5148.56	40.33	1.21652	0	1.21652	0	0	1	0
Seg 25	5174.02	40.33	1.21597	0	1.21597	0	0	1	0
Seg 26	5199.46	40.33	1.21542	0	1.21542	0	0	1	0
Seg 27	5224.9	40.33	1.21487	0	1.21487	0	0	1	0
Seg 28	5250.33	40.33	1.21432	0	1.21432	0	0	1	0
Seg 29	5275.74	40.33	1.21377	0	1.21377	0	0	1	0
Seg 30	5301.15	40.33	1.21322	0	1.21322	0	0	1	0
Seg 31	5326.54	40.33	1.21268	0	1.21268	0	0	1	0
Seg 32	5351.92	40.33	1.21213	0	1.21213	0	0	1	0
Seg 33	5377.29	40.33	1.21158	0	1.21158	0	0	1	0
Seg 34	5402.9	40.33	1.21103	0	1.21103	0	0	1	0


3.73106   	4700      	-         	3579.45   	3112.56   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	4700	40.33	2.24827	0.114767	2.1335	0	0.0510467	0.948953	0
Seg 1	4700	40.33	2.25361	0.115037	2.13857	0	0.0510396	0.94896	0
Seg 2	4744.39	40.33	2.24064	0.101763	2.13888	0	0.0454114	0.954589	0
Seg 3	4788.52	40.33	2.22799	0.0888082	2.13918	0	0.0398554	0.960145	0
Seg 4	4832.4	40.33	2.21564	0.0761602	2.13948	0	0.0343696	0.96563	0
Seg 5	4876.05	40.33	2.20359	0.0638071	2.13978	0	0.0289524	0.971048	0
Seg 6	4919.47	40.33	2.19182	0.0517377	2.14008	0	0.023602	0.976398	0
Seg 7	4962.65	40.33	2.18032	0.0399415	2.14038	0	0.0183168	0.981683	0
Seg 8	5005.62	40.33	2.16908	0.0284084	2.14067	0	0.0130953	0.986905	0
Seg 9	5048.37	40.33	2.15811	0.0171456	2.14097	0	0.00794371	0.992056	0
Seg 10	5090.9	40.33	2.14737	0.00610701	2.14126	0	0.00284358	0.997156	0
Seg 11	5133.31	40.33	2.14072	0	2.14072	0	0	1	0
Seg 12	5175.68	40.33	2.1391	0	2.1391	0	0	1	0
Seg 13	5218.02	40.33	2.13749	0	2.13749	0	0	1	0
Seg 14	5260.33	40.33	2.13589	0	2.13589	0	0	1	0
Seg 15	5303.38	40.33	2.13425	0	2.13425	0	0	1	0
Seg 16	4872.92	40.33	8.78511	0.257788	8.52732	0	0.0281896	0.97181	0
Seg 17	5042.75	40.33	8.60617	0.0741909	8.53198	0	0.00827265	0.991727	0
Seg 18	5170.09	40.33	7.31528	0	7.31528	0	0	1	0
Seg 19	5306.17	40.33	7.2976	0	7.2976	0	0	1	0
Seg 20	5042.75	40.33	1.22172	0.0105306	1.21119	0	0.00861757	0.991382	0
Seg 21	5068.13	40.33	1.21807	0.00678618	1.21129	0	0.00556997	0.99443	0
Seg 22	5093.44	40.33	1.21447	0.00308484	1.21139	0	0.00253949	0.997461	0
Seg 23	5118.68	40.33	1.21138	0	1.21138	0	0	1	0
Seg 24	5143.92	40.33	1.21084	0	1.21084	0	0	1	0
Seg 25	5169.14	40.33	1.2103	0	1.2103	0	0	1	0
Seg 26	5194.35	40.33	1.20975	0	1.20975	0	0	1	0
Seg 27	5219.55	40.33	1.20921	0	1.20921	0	0	1	0
Seg 28	5244.74	40.33	1.20867	0	1.20867	0	0	1	0
