Results for well: PROD1 in the reservoir: RES1

  t       BHP	     q(Gas)       q(Oil)
(days)   (psia)    (MSCF/day)   (STB/day)
98118.8   1000        0           7049.21   
98335.3   1000        0           7052.93   
98532.8   1000        0           7056.07   
98717.4   1000        0           7059.25   
98895.8   1000        0           7061.24   
99064.2   1000        0           7063.37   
99225.8   1000        0           7066.15   
99383.3   1000        0           7069.07   
99534.5   1000        0           7071.64   
99678.1   1000        0           7073.94   
99818.7   1000        0           7076.3    
99957     1000        0           7078.61   
100089    1000        0           7081.77   
100222    1000        0           7084.32   
100357    1000        0           7087.39   
100490    1000        0           7089.28   
100619    1000        0           7092.05   
100753    1000        0           7094.93   
100876    1000        0           7098.85   
101001    1000        0           7101.3    
101124    1000        0           7103.17   
101247    1000        0           7104.58   
101370    1000        0           7106.03   
101491    1000        0           7107.92   
101621    1000        0           7108.1    
101745    1000        0           7109.6    
101873    1000        0           7115.6    
102001    1000        33.904014   7116.28   
102127    1000        204.73715   7097.47   
102254    1000        649.89719   7038.79   
102402    1000        1389.579    6927.47   
102605    1000        1932.5786   6822.04   
102840    1000        2283.9355   6752.86   
103097    1000        2545.5562   6701.39   
103368    1000        2726.1596   6664.73   
103646    1000        2873.4371   6635.02   
103928    1000        2995.7286   6610.64   
104216    1000        3100.9653   6590.02   
104506    1000        3193.0458   6572.29   
104802    1000        3273.3628   6557.19   
105095    1000        3345.0279   6544.43   
105386    1000        3408.3043   6533.46   
105677    1000        3464.0471   6524.11   
105967    1000        3513.9184   6515.83   
106265    1000        3561.3466   6508.18   
106561    1000        3605.1815   6501.35   
106852    1000        3644.9038   6495.42   
107141    1000        3683.1887   6490.19   
107424    1000        3718.7815   6485.85   
107706    1000        3751.9505   6482.06   
107999    1000        3786.2089   6478.36   
108293    1000        3819.8615   6474.72   
108579    1000        3852.6621   6471.36   
108861    1000        3885.621    6468.16   
109141    1000        3919.1615   6465.15   
109419    1000        3954.202    6461.84   
109692    1000        3991.6387   6459.73   
109962    1000        4031.6765   6458.78   
110232    1000        4074.063    6457.99   
110501    1000        4119.4391   6457.02   
110768    1000        4168.2181   6455.33   
111043    1000        4223.7273   6453.59   
111324    1000        4286.681    6451.4    
111609    1000        4358.7806   6448.34   
111899    1000        4442.7077   6444.34   
112199    1000        4544.9013   6439.32   
112504    1000        4666.8349   6432.59   
112824    1000        4819.2065   6423.6    
113180    1000        5022.7916   6410.15   
113540    1000        5268.3261   6393.5    
113900    1000        5568.012    6371.16   
114260    1000        5915.6279   6344.17   
114620    1000        6316.1523   6311.52   
114980    1000        6762.9941   6273.95   
115340    1000        7232.0182   6233.13   
115700    1000        7719.8422   6189.31   
116060    1000        8228.3397   6142      
116420    1000        8720.2879   6094.29   
116780    1000        9182.5715   6047.88   
117140    1000        9618.4873   6002.64   
117500    1000        10008.339   5960.67   
117860    1000        10355.156   5922.01   
118220    1000        10650.84    5887.56   
118580    1000        10900.302   5857.38   
118940    1000        11105.224   5831.54   
119300    1000        11271.52    5809.71   
119660    1000        11409.802   5791.04   
120020    1000        11520.774   5775.57   
120380    1000        11606.661   5763.11   
120740    1000        11674.105   5753.16   
121100    1000        11730.269   5745.1    
121460    1000        11778.012   5738.51   
121820    1000        11818.938   5733.1    
122180    1000        11855.02    5728.64   
122540    1000        11887.738   5724.96   
122900    1000        11918.459   5721.91   
123260    1000        11948.017   5719.34   
123620    1000        11976.772   5717.13   
123980    1000        12004.772   5715.29   
124340    1000        12032.23    5713.78   
124700    1000        12059.385   5712.52   
125060    1000        12086.46    5711.45   
125420    1000        12113.709   5710.52   
125780    1000        12141.135   5709.73   
126140    1000        12168.764   5708.99   
126500    1000        12196.594   5708.27   
126860    1000        12224.624   5707.56   
127220    1000        12252.942   5706.87   
127580    1000        12281.562   5706.18   
127940    1000        12310.841   5705.45   
128300    1000        12340.617   5704.75   
128660    1000        12370.637   5704.11   
129020    1000        12400.868   5703.51   
129380    1000        12431.478   5702.93   
129740    1000        12462.496   5702.38   
130100    1000        12493.754   5701.78   
130460    1000        12525.201   5701.11   
130820    1000        12556.971   5700.35   
131180    1000        12589.001   5699.55   
131540    1000        12621.466   5698.73   
131900    1000        12654.272   5697.89   
132260    1000        12687.419   5697.1    
132620    1000        12720.895   5696.31   
132980    1000        12754.611   5695.51   
133340    1000        12789.205   5694.67   
133700    1000        12823.928   5693.76   
134060    1000        12858.805   5692.82   
134420    1000        12894.301   5691.82   
134780    1000        12930.551   5690.76   
135140    1000        12967.315   5689.64   
135500    1000        13004.305   5688.49   
135860    1000        13041.742   5687.34   
136220    1000        13079.808   5686.16   
136580    1000        13118.675   5684.92   
136940    1000        13158.192   5683.76   
137300    1000        13197.826   5682.51   
137660    1000        13237.658   5681.15   
138020    1000        13277.94    5679.68   
138380    1000        13319.211   5678.08   
138740    1000        13361.049   5676.44   
139100    1000        13403.212   5674.75   
139460    1000        13445.697   5673.09   
139820    1000        13488.87    5671.43   
140180    1000        13532.225   5669.75   
140540    1000        13576.058   5668.07   
140900    1000        13620.576   5666.31   
141260    1000        13666.18    5664.41   
141620    1000        13712.024   5662.39   
141980    1000        13758.469   5660.26   
142340    1000        13805.508   5658.08   
142700    1000        13853.084   5655.84   
143060    1000        13900.868   5653.61   
143420    1000        13949.067   5651.43   
143780    1000        13996.434   5649.31   
144140    1000        14043.35    5647.27   
144500    1000        14089.855   5645.23   
144860    1000        14136.097   5643.11   
145220    1000        14182.855   5640.92   
145580    1000        14229.558   5638.71   
145940    1000        14276.369   5636.47   
146300    1000        14324.011   5634.17   
146660    1000        14372.512   5631.8    
147020    1000        14421.501   5629.42   
147380    1000        14470.29    5627.06   
147740    1000        14518.551   5624.75   
148100    1000        14567.099   5622.53   
148460    1000        14615.976   5620.23   
148820    1000        14664.397   5617.89   
149180    1000        14712.172   5615.55   
149540    1000        14759.356   5613.18   
149900    1000        14806.605   5610.79   
150260    1000        14854.395   5608.39   
150620    1000        14902.324   5605.98   
150980    1000        14950.235   5603.65   
151340    1000        14998.732   5601.34   
151700    1000        15047.023   5599.03   
