Results for well: INJ in the reservoir: RES1

  t       BHP	     q(Gas)       q(Oil)
(days)   (psia)    (MSCF/day)   (STB/day)
157100    3500        -123307.28  0         
157460    3500        -123468.43  0         
157820    3500        -123640.65  0         
158180    3500        -123811.15  0         
158540    3500        -123958.64  0         
158900    3500        -124107.45  0         
159260    3500        -124246.76  0         
159620    3500        -124383.27  0         
159980    3500        -124536.54  0         
160340    3500        -124695.42  0         
160700    3500        -124855.85  0         
161060    3500        -125013.45  0         
161420    3500        -125155.34  0         
161780    3500        -125287.39  0         
162140    3500        -125438.63  0         
162500    3500        -125602.04  0         
162860    3500        -125754.61  0         
163220    3500        -125911.52  0         
163580    3500        -126068.06  0         
163940    3500        -126206.15  0         
164300    3500        -126338.37  0         
164660    3500        -126480.06  0         
165020    3500        -126644.57  0         
165380    3500        -126807.35  0         
165740    3500        -126956.56  0         
166100    3500        -127100.82  0         
166460    3500        -127242.95  0         
166820    3500        -127388.52  0         
167180    3500        -127538.14  0         
167540    3500        -127685.4   0         
167900    3500        -127828.79  0         
168260    3500        -127968.84  0         
168620    3500        -128103.02  0         
168980    3500        -128233.1   0         
169340    3500        -128373.32  0         
169700    3500        -128521.36  0         
170060    3500        -128662.84  0         
170420    3500        -128796.51  0         
170780    3500        -128933.37  0         
171140    3500        -129075.22  0         
171500    3500        -129222.37  0         
171860    3500        -129358.72  0         
172220    3500        -129490.81  0         
172580    3500        -129626.47  0         
172940    3500        -129751.39  0         
173300    3500        -129887.47  0         
173660    3500        -130039.6   0         
174020    3500        -130202.58  0         
174380    3500        -130346.51  0         
174740    3500        -130481.73  0         
175100    3500        -130608.34  0         
175460    3500        -130728.91  0         
175820    3500        -130853.23  0         
176180    3500        -130992.21  0         
176540    3500        -131133.34  0         
176900    3500        -131269.86  0         
177260    3500        -131397.02  0         
177620    3500        -131521.52  0         
177980    3500        -131643.55  0         
178340    3500        -131773.37  0         
178700    3500        -131913.29  0         
179060    3500        -132055.95  0         
179420    3500        -132188.84  0         
179780    3500        -132303.53  0         
180140    3500        -132408.75  0         
180500    3500        -132523.19  0         
180860    3500        -132643.58  0         
181220    3500        -132769.67  0         
181580    3500        -132907.03  0         
181940    3500        -133044.63  0         
182300    3500        -133177.62  0         
182660    3500        -133297.88  0         
183020    3500        -133423.66  0         
183380    3500        -133548.16  0         
183740    3500        -133669.71  0         
184100    3500        -133796.12  0         
184460    3500        -133920.28  0         
184820    3500        -134032.92  0         
185180    3500        -134146.19  0         
185540    3500        -134267.83  0         
185900    3500        -134384.64  0         
186260    3500        -134505.41  0         
186620    3500        -134627.01  0         
186980    3500        -134749.12  0         
187340    3500        -134868.26  0         
187700    3500        -134987.87  0         
188060    3500        -135109.1   0         
188420    3500        -135227.11  0         
188780    3500        -135334.62  0         
189140    3500        -135446.59  0         
189500    3500        -135572.34  0         
189860    3500        -135691.8   0         
190220    3500        -135800.74  0         
190580    3500        -135911.12  0         
190940    3500        -136021.59  0         
191300    3500        -136129.99  0         
191660    3500        -136242.04  0         
192020    3500        -136351.34  0         
192380    3500        -136462.35  0         
192740    3500        -136568.92  0         
193100    3500        -136676.02  0         
193460    3500        -136784.7   0         
193820    3500        -136889.82  0         
194180    3500        -136997.14  0         
194540    3500        -137109.31  0         
194900    3500        -137215.66  0         
195260    3500        -137317.38  0         
195620    3500        -137408.7   0         
195980    3500        -137501.22  0         
196340    3500        -137602.34  0         
196700    3500        -137709.04  0         
197060    3500        -137817.07  0         
197420    3500        -137923.67  0         
197780    3500        -138025.58  0         
198140    3500        -138122.57  0         
198500    3500        -138223.63  0         
198860    3500        -138327.63  0         
199220    3500        -138432.46  0         
199580    3500        -138539.78  0         
199940    3500        -138639.19  0         
200300    3500        -138731.92  0         
200660    3500        -138820.88  0         
201020    3500        -138913.33  0         
201380    3500        -139009.84  0         
201740    3500        -139109.69  0         
