Results for well: MSWell_2_Seg.out in the reservoir: MSWell_2_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d

0         	0         	-         	0         	0         	0         	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 12	5359.91	40.33	1.15111	1.03657e-014	-1.66139e-015	1.15111	9.00493e-015	-1.44329e-015	1
Seg 13	5384.49	40.33	1.15111	2.29859e-014	-8.05133e-015	1.15111	1.99685e-014	-6.99441e-015	1
Seg 14	5409.07	40.33	1.15111	3.71234e-014	-2.37706e-014	1.15111	3.22501e-014	-2.06501e-014	1
Seg 15	5434.04	40.33	1.15111	1.74867e-014	-1.20131e-014	1.15111	1.51912e-014	-1.04361e-014	1



7.22456   	5087.55   	-         	4.01623e-010	-2.40193e-010	1000      	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5087.55	40.33	1.15111	1.07366e-013	-3.48891e-014	1.15111	9.32714e-014	-3.03091e-014	1
Seg 1	5087.56	40.33	1.15111	5.21528e-014	-2.81158e-015	1.15111	4.53065e-014	-2.44249e-015	1
Seg 2	5112.14	40.33	1.15111	4.40974e-014	-8.94592e-015	1.15111	3.83086e-014	-7.77156e-015	1
Seg 3	5136.72	40.33	1.15111	6.68653e-014	-1.66139e-014	1.15111	5.80877e-014	-1.44329e-014	1
Seg 4	5161.3	40.33	1.15111	7.06443e-014	-3.55281e-014	1.15111	6.13706e-014	-3.08642e-014	1
Seg 5	5185.88	40.33	1.15111	6.53571e-014	-3.23331e-014	1.15111	5.67775e-014	-2.80886e-014	1
Seg 6	5210.47	40.33	1.15111	6.04534e-014	-3.48891e-014	1.15111	5.25175e-014	-3.03091e-014	1
Seg 7	5235.05	40.33	1.15111	3.42767e-014	-2.84991e-014	1.15111	2.97771e-014	-2.4758e-014	1
Seg 8	5259.63	40.33	1.15111	4.6173e-014	-4.61354e-014	1.15111	4.01117e-014	-4.00791e-014	1
Seg 9	5284.21	40.33	1.15111	3.01482e-014	-3.01605e-014	1.15111	2.61906e-014	-2.62013e-014	1
Seg 10	5308.79	40.33	1.15111	5.01433e-014	-4.4474e-014	1.15111	4.35609e-014	-3.86358e-014	1
Seg 11	5333.37	40.33	1.15111	3.64923e-014	-2.69656e-014	1.15111	3.17018e-014	-2.34257e-014	1
Seg 12	5357.96	40.33	1.15111	4.59424e-014	-1.92976e-014	1.15111	3.99114e-014	-1.67644e-014	1
Seg 13	5382.54	40.33	1.15111	1.5776e-014	-1.57193e-014	1.15111	1.3705e-014	-1.36557e-014	1
Seg 14	5407.12	40.33	1.15111	0	0	1.15111	0	0	1
Seg 15	5432.09	40.33	1.15111	0	0	1.15111	0	0	1



8.22456   	5085.51   	-         	1.25421e-009	-7.94192e-010	1000      	
Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	5085.51	40.33	1.15111	0	6.26214e-015	1.15111	0	5.44009e-015	1
Seg 1	5085.51	40.33	1.15111	0	1.31633e-014	1.15111	0	1.14353e-014	1
Seg 2	5110.1	40.33	1.15111	0	9.58492e-015	1.15111	0	8.32667e-015	1
Seg 3	5134.68	40.33	1.15111	0	2.40262e-014	1.15111	0	2.08722e-014	1
Seg 4	5159.26	40.33	1.15111	0	2.74768e-014	1.15111	0	2.38698e-014	1
Seg 5	5183.84	40.33	1.15111	0	9.45712e-015	1.15111	0	8.21565e-015	1
Seg 6	5208.42	40.33	1.15111	0	3.83397e-015	1.15111	0	3.33067e-015	1
Seg 7	5233	40.33	1.15111	0	2.55598e-015	1.15111	0	2.22045e-015	1
Seg 8	5257.58	40.33	1.15111	0	0	1.15111	0	0	1
Seg 9	5282.17	40.33	1.15111	0	0	1.15111	0	0	1
Seg 10	5306.75	40.33	1.15111	0	1.36745e-014	1.15111	0	1.18794e-014	1
Seg 11	5331.33	40.33	1.15111	0	2.59432e-014	1.15111	0	2.25375e-014	1
Seg 12	5355.91	40.33	1.15111	0	1.07351e-014	1.15111	0	9.32587e-015	1
