 % Reservoir Output 
 % Unit for Total Component: B.O. ~ lb/day || Compositional ~ mol/day 

time	pres	temp	comp0	comp1	comp2	min0	min1	min2	
day	psi	F	**	**	**	
        83	   387.588	       573	52.1557	5.68034e-024	7.09486e-009	0.0799514	5.092e-025	2.49047e-009	
        84	   387.588	       573	52.1557	4.54742e-024	5.686e-009	0.0799514	4.08167e-025	1.9965e-009	
        85	   387.588	       573	52.1557	3.64162e-024	4.5569e-009	0.0799514	3.2718e-025	1.6005e-009	
        86	   387.588	       573	52.1557	2.91533e-024	3.65201e-009	0.0799514	2.62262e-025	1.28304e-009	
        87	   387.588	       573	52.1557	2.33415e-024	2.92681e-009	0.0799514	2.10225e-025	1.02856e-009	
        88	   387.588	       573	52.1557	1.8697e-024	2.34562e-009	0.0799514	1.68513e-025	8.24545e-010	
        89	   387.588	       573	52.1557	1.49752e-024	1.87984e-009	0.0799514	1.35077e-025	6.60999e-010	
        90	   387.588	       573	52.1557	1.19967e-024	1.50655e-009	0.0799514	1.08275e-025	5.29892e-010	
        91	   387.588	       573	52.1557	9.60923e-025	1.20738e-009	0.0799514	8.67917e-026	4.2479e-010	
        92	   387.588	       573	52.1557	7.70073e-025	9.67627e-010	0.0799514	6.95706e-026	3.40534e-010	
        93	   387.588	       573	52.1557	6.17189e-025	7.7548e-010	0.0799514	5.57666e-026	2.7299e-010	
        94	   387.588	       573	52.1557	4.94934e-025	6.21489e-010	0.0799514	4.47015e-026	2.18843e-010	
        95	   387.588	       573	52.1557	3.96897e-025	4.98076e-010	0.0799514	3.58319e-026	1.75436e-010	
        96	   387.588	       573	52.1557	3.18146e-025	3.99171e-010	0.0799514	2.87222e-026	1.40639e-010	
        97	   387.588	       573	52.1557	2.54988e-025	3.19905e-010	0.0799514	2.30232e-026	1.12743e-010	
        98	   387.588	       573	52.1557	2.04332e-025	2.5638e-010	0.0799514	1.8455e-026	9.03809e-011	
        99	   387.588	       573	52.1557	1.63753e-025	2.05469e-010	0.0799514	1.47932e-026	7.2454e-011	
       100	   387.588	       573	52.1557	1.31238e-025	1.64668e-010	0.0799514	1.1858e-026	5.80829e-011	
       101	   387.588	       573	52.1557	1.05209e-025	1.31969e-010	0.0799514	9.50512e-027	4.65623e-011	
       102	   387.588	       573	52.1557	8.42882e-026	1.05763e-010	0.0799514	7.61913e-027	3.73267e-011	
       103	   387.588	       573	52.1557	6.75078e-026	8.47612e-011	0.0799514	6.10736e-027	2.9923e-011	
       104	   387.588	       573	52.1557	5.40482e-026	6.79297e-011	0.0799514	4.89555e-027	2.39879e-011	
       105	   387.588	       573	52.1557	4.32949e-026	5.44405e-011	0.0799514	3.92418e-027	1.92299e-011	
       106	   387.588	       573	52.1557	3.46677e-026	4.363e-011	0.0799514	3.14555e-027	1.54157e-011	
       107	   387.588	       573	52.1557	2.77649e-026	3.49661e-011	0.0799514	2.52141e-027	1.2358e-011	
       108	   387.588	       573	52.1557	2.2218e-026	2.80227e-011	0.0799514	2.02112e-027	9.9068e-012	
       109	   387.588	       573	52.1557	1.78111e-026	2.24581e-011	0.0799514	1.62009e-027	7.9418e-012	
       110	   387.588	       573	52.1557	1.42729e-026	1.79985e-011	0.0799514	1.29863e-027	6.36655e-012	
       111	   387.588	       573	52.1557	1.1442e-026	1.44244e-011	0.0799514	1.04095e-027	5.10375e-012	
       112	   387.588	       573	52.1557	9.1589e-027	1.15601e-011	0.0799514	8.34408e-028	4.09142e-012	
       113	   387.588	       573	52.1557	8.22814e-021	9.26452e-012	0.0799514	6.68845e-028	3.27989e-012	
       114	   387.588	       573	52.1557	1.65073e-020	7.42481e-012	0.0799514	1.22623e-025	2.62933e-012	
       115	   387.588	       573	52.1557	1.65066e-020	5.95042e-012	0.0799514	3.46099e-025	2.1078e-012	
       116	   387.588	       573	52.1557	1.65031e-020	4.76882e-012	0.0799514	5.3274e-025	1.68972e-012	
       117	   387.588	       573	52.1557	1.64893e-020	3.82184e-012	0.0799514	6.90953e-025	1.35456e-012	
       118	   387.588	       573	52.1557	1.64469e-020	3.06292e-012	0.0799514	8.27677e-025	1.08589e-012	
       119	   387.588	       573	52.1557	1.63408e-020	2.4547e-012	0.0799514	9.48475e-025	8.70502e-013	
       120	   387.588	       573	52.1557	1.61176e-020	1.96726e-012	0.0799514	1.05731e-024	6.97838e-013	
       121	   387.588	       573	52.1557	1.57115e-020	1.57661e-012	0.0799514	1.15614e-024	5.59421e-013	
       122	   387.588	       573	52.1557	1.50593e-020	1.26353e-012	0.0799514	1.24449e-024	4.4846e-013	
       123	   387.588	       573	52.1557	1.41203e-020	1.01262e-012	0.0799514	1.31943e-024	3.59508e-013	
       124	   387.588	       573	52.1557	1.28928e-020	8.11542e-013	0.0799514	1.37618e-024	2.88199e-013	
       125	   387.588	       573	52.1557	1.14209e-020	6.50389e-013	0.0799514	1.4093e-024	2.31035e-013	
       126	   387.588	       573	52.1557	9.78891e-021	5.21238e-013	0.0799514	1.41416e-024	1.85209e-013	
