 % Reservoir Output 
 % Unit for Total Component: B.O. ~ lb/day || Compositional ~ mol/day 

time	pres	temp	comp0	comp1	comp2	comp3	comp4	comp5	comp6	comp7	comp8	comp9	comp10	comp11	comp12	min0	min1	min2	min3	min4	min5	min6	min7	
day	psi	F	**	**	**	**	**	**	**	**	**	**	**	**	**	
   3.71295	   503.038	       582	27.5608	32676	0.00200957	5.8784e-005	0.178542	0.27866	5.8226	14.9018	1.56001	1.47535	0.000131053	1.35599e-005	4.81331e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   3.84575	   502.906	       582	28.3984	32667	0.00202689	5.77464e-005	0.179369	0.278588	5.821	14.9013	1.56067	1.48612	0.000131202	1.35567e-005	4.81566e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   3.99828	    502.79	       582	29.4453	32656.6	0.00205288	5.9403e-005	0.180309	0.278508	5.81916	14.9008	1.56142	1.49847	0.000131339	1.35506e-005	4.8142e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   4.17424	   503.255	       582	30.4859	32644.6	0.00206402	6.0221e-005	0.181392	0.278414	5.81703	14.9001	1.56228	1.51276	0.000131341	1.35339e-005	4.8544e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   4.37046	   503.851	       582	31.4068	32631.1	0.0020585	5.54667e-005	0.182602	0.278304	5.81464	14.8994	1.56325	1.52877	0.000131249	1.35099e-005	4.9351e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
    4.4968	   503.762	       582	32.0661	32622.5	0.00206303	5.25965e-005	0.183377	0.278233	5.8131	14.8989	1.56388	1.53909	0.000131243	1.34989e-005	4.95365e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   4.62503	   503.599	       582	32.8101	32613.7	0.00207419	5.0954e-005	0.184223	0.278163	5.81154	14.8987	1.56461	1.55048	0.000131399	1.34962e-005	4.96174e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   4.76927	   503.438	       582	33.7283	32603.8	0.00209321	5.12105e-005	0.185162	0.278086	5.80979	14.8986	1.56544	1.56326	0.000131543	1.34909e-005	4.96831e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   4.93661	   503.296	       582	34.8852	32592.3	0.00212105	5.43735e-005	0.186235	0.278	5.80777	14.8983	1.5664	1.57807	0.000131674	1.34827e-005	4.9731e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   5.13234	   504.304	       582	35.8476	32578.8	0.00211645	5.24784e-005	0.18749	0.277893	5.80537	14.8981	1.56752	1.59545	0.000131587	1.34587e-005	5.0485e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   5.26984	   504.501	       582	36.5014	32569.3	0.00211463	4.95118e-005	0.188368	0.277816	5.80369	14.8979	1.56831	1.60768	0.000131565	1.34451e-005	5.08479e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   5.39085	   504.357	       582	37.1391	32561	0.00212028	4.73032e-005	0.189134	0.277749	5.8022	14.8978	1.56901	1.61845	0.00013156	1.34345e-005	5.09879e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
   5.52232	   504.157	       582	37.9062	32551.9	0.0021325	4.62245e-005	0.190024	0.277678	5.8006	14.8979	1.56987	1.63108	0.000131717	1.3431e-005	5.10857e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
