Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 21	613.692	-682.596	2.785	1.0431	0.0442468	1.69765	0.288463	0.0180741	0.693463
Seg 22	638.406	-640.931	2.74426	1.00633	0.044162	1.69377	0.281428	0.0182594	0.700313
Seg 23	663.184	-600.869	2.7063	0.972156	0.0440818	1.69006	0.274757	0.0184357	0.706807
Seg 24	688.025	-562.396	2.67082	0.940318	0.0440058	1.68649	0.268423	0.0186037	0.712974
Seg 25	712.927	-525.495	2.63758	0.910574	0.0439341	1.68307	0.262397	0.0187642	0.718838
Seg 26	737.891	-490.142	2.60638	0.882722	0.0438663	1.67979	0.256658	0.0189177	0.724424
Seg 27	762.913	-456.31	2.57703	0.85658	0.0438023	1.67665	0.251183	0.0190647	0.729753
Seg 28	787.993	-423.966	2.54936	0.831992	0.0437421	1.67363	0.245953	0.0192059	0.734841
Seg 29	813.131	-393.076	2.52324	0.808818	0.0436854	1.67074	0.24095	0.0193414	0.739708
Seg 30	838.323	-363.603	2.49853	0.786937	0.0436322	1.66796	0.236159	0.0194719	0.744369
Seg 31	863.57	-335.509	2.47512	0.766238	0.0435823	1.6653	0.231566	0.0195977	0.748837
Seg 32	888.87	-308.753	2.45291	0.746623	0.0435356	1.66275	0.227156	0.019719	0.753125
Seg 33	914.221	-283.293	2.43181	0.728007	0.0434921	1.66031	0.222918	0.0198362	0.757246
Seg 34	939.624	-259.088	2.41173	0.71031	0.0434515	1.65797	0.218841	0.0199495	0.76121
Seg 35	965.077	-236.095	2.3926	0.693462	0.0434139	1.65573	0.214914	0.0200593	0.765026
Seg 36	990.578	-214.27	2.37436	0.677401	0.0433792	1.65358	0.211129	0.0201658	0.768705
Seg 37	1016.12	-193.572	2.35695	0.662075	0.043347	1.65153	0.207861	0.0202592	0.77188
Seg 38	1041.68	-173.963	2.34032	0.647451	0.0433151	1.64955	0.20487	0.0203449	0.774785
Seg 39	1067.28	-155.402	2.32441	0.633485	0.0432852	1.64764	0.201979	0.0204282	0.777593
Seg 40	1092.91	-137.847	2.30917	0.620131	0.0432573	1.64578	0.19918	0.0205094	0.78031
Seg 41	1118.57	-121.255	2.29457	0.607347	0.0432313	1.644	0.19647	0.0205886	0.782942
Seg 42	1144.26	-105.584	2.28057	0.595095	0.0432072	1.64227	0.193842	0.0206659	0.785492
Seg 43	1169.98	-90.7942	2.26712	0.583341	0.0431849	1.64059	0.191292	0.0207414	0.787966
Seg 44	1195.73	-76.8468	2.25419	0.572053	0.0431644	1.63898	0.188817	0.0208153	0.790368
Seg 45	1221.51	-63.7031	2.24176	0.561201	0.0431456	1.63742	0.186411	0.0208875	0.792701
Seg 46	1247.32	-51.3263	2.2298	0.550759	0.0431284	1.63591	0.184073	0.0209582	0.794969
Seg 47	1273.16	-39.6804	2.21827	0.540702	0.0431129	1.63445	0.181797	0.0210276	0.797175
Seg 48	1299.03	-28.7308	2.20715	0.531008	0.043099	1.63305	0.179582	0.0210956	0.799322
Seg 49	1324.92	-18.4439	2.19643	0.521655	0.0430866	1.63169	0.177424	0.0211623	0.801414
Seg 50	1350.84	-8.78746	2.18608	0.512625	0.0430757	1.63038	0.17532	0.0212277	0.803452
Seg 51	1376.79	0.269715	2.17608	0.503898	0.0430662	1.62912	0.173268	0.0212921	0.80544
Seg 52	1402.77	8.75759	2.16642	0.495459	0.0430581	1.6279	0.171265	0.0213553	0.80738
Seg 53	1428.78	16.705	2.15707	0.487292	0.0430514	1.62672	0.169309	0.0214175	0.809273
Seg 54	1454.81	24.1396	2.14802	0.479383	0.0430459	1.62559	0.167399	0.0214786	0.811123
Seg 55	1480.87	31.088	2.13926	0.471718	0.0430417	1.6245	0.165531	0.0215388	0.81293
Seg 56	1506.96	37.5756	2.13078	0.464284	0.0430386	1.62345	0.163704	0.0215981	0.814698
Seg 57	1533.07	43.6268	2.12255	0.457071	0.0430367	1.62244	0.161916	0.0216564	0.816427
Seg 58	1559.21	49.265	2.11458	0.450067	0.0430359	1.62147	0.160166	0.0217139	0.81812
Seg 59	1585.37	54.5125	2.10684	0.443263	0.0430361	1.62054	0.158452	0.0217705	0.819777
Seg 60	1611.57	59.3906	2.09933	0.436648	0.0430373	1.61964	0.156773	0.0218263	0.821401
Seg 61	1637.78	63.9197	2.09204	0.430214	0.0430394	1.61878	0.155127	0.0218813	0.822992
Seg 62	1664.03	68.1193	2.08495	0.423953	0.0430424	1.61796	0.153513	0.0219355	0.824552
Seg 63	1690.29	72.0078	2.07807	0.417857	0.0430461	1.61716	0.151929	0.0219889	0.826082
Seg 64	1716.59	75.603	2.07137	0.411918	0.0430505	1.6164	0.150375	0.0220415	0.827584
Seg 65	1742.9	78.9217	2.06486	0.40613	0.0430556	1.61567	0.148849	0.0220933	0.829058
Seg 66	1769.25	81.9798	2.05853	0.400487	0.0430613	1.61498	0.14735	0.0221443	0.830505
Seg 67	1795.61	84.7927	2.05236	0.394982	0.0430674	1.61431	0.145878	0.0221946	0.831927
Seg 68	1822.01	87.3749	2.04636	0.389609	0.043074	1.61367	0.144432	0.0222441	0.833324
Seg 69	1848.42	89.74	2.04051	0.384364	0.0430809	1.61306	0.143009	0.0222927	0.834698
