Results of block pressure and saturations for reservoir: RES1

BlockNo        P 	     Sg           So
t=0       (days)
85          5118.7      0.461465        0.538535        
86          5330.19     0.534835        0.465165        
87          5503.87     0.627861        0.372139        
88          5636.91     0.754531        0.245469        
89          5729.77     1               0               
90          3694.5      0               1               
91          3955.9      0.0763746       0.923625        
92          4297.18     0.275469        0.724531        
93          4606.62     0.366831        0.633169        
94          4884.09     0.435021        0.564979        
95          5127.99     0.503186        0.496814        
96          5340.29     0.588378        0.411622        
97          5513.99     0.692736        0.307264        
98          5646.92     0.863837        0.136163        
99          5749.02     1               0               
t=120.33  (days)
0           3441.99     0.0652922       0.934708        
1           4073.65     0               1               
2           4404.01     0               1               
3           4667.28     0               1               
4           4898.37     0               1               
5           5099.09     0               1               
6           5272.7      0               1               
7           5412.82     0               1               
8           5518.68     0               1               
9           5579.21     0               1               
10          3598.69     0.181956        0.818044        
11          4094.42     0               1               
12          4415.41     0               1               
13          4677.28     0               1               
14          4908.3      0               1               
15          5108.89     0               1               
16          5282.76     0               1               
17          5422.93     0.0262788       0.973721        
18          5529.23     0.161173        0.838827        
19          5589.97     0.310588        0.689412        
20          3721.98     0.224232        0.775768        
21          4122.1      0               1               
22          4429.2      0               1               
23          4688.53     0               1               
24          4919.45     0               1               
25          5119.75     0.0338738       0.966126        
26          5294.15     0.187871        0.812129        
27          5433.56     0.321004        0.678996        
28          5539.48     0.397828        0.602172        
29          5601.59     0.469908        0.530092        
30          3816.88     0.262269        0.737731        
31          4153.47     0.120927        0.879073        
32          4444.85     0.0130263       0.986974        
33          4700.88     0.0447649       0.955235        
34          4931.78     0.186232        0.813768        
35          5130.6      0.310696        0.689304        
36          5303.65     0.378578        0.621422        
37          5443.86     0.437067        0.562933        
38          5550.33     0.496126        0.503874        
39          5614.61     0.57191         0.42809         
40          3893.57     0.29424         0.70576         
41          4180.67     0.264279        0.735721        
42          4460.77     0.236186        0.763814        
43          4712.71     0.294283        0.705717        
44          4941.16     0.353381        0.646619        
45          5140.47     0.405673        0.594327        
46          5313.28     0.454424        0.545576        
47          5454.49     0.507783        0.492217        
48          5561.9      0.573873        0.426127        
49          5628.66     0.659152        0.340848        
50          3954.71     0.318973        0.681027        
51          4204.73     0.334605        0.665395        
52          4473.58     0.343801        0.656199        
53          4722.93     0.37634         0.62366         
54          4950.35     0.417006        0.582994        
55          5150.24     0.461283        0.538717        
56          5323.24     0.509666        0.490334        
57          5465.49     0.570241        0.429759        
58          5573.64     0.643409        0.356591        
59          5643.71     0.745209        0.254791        
60          4003.07     0.333866        0.666134        
61          4226.19     0.369076        0.630924        
62          4485.64     0.389893        0.610107        
63          4732.78     0.421877        0.578123        
64          4959.58     0.460806        0.539194        
65          5160.12     0.50606         0.49394         
66          5333.47     0.561189        0.438811        
67          5476.46     0.628376        0.371624        
68          5585.33     0.71158         0.28842         
69          5659.37     0.866987        0.133013        
