Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 7	331.624	114.95	5.8691	3.83909	2.03001	6.29779e-008	0.654119	0.345881	1.07304e-008		0.948218	0.041843	0.00288889	0.00705022	0	0.0866192	0.164806	0.213874	0.534701	0	
Seg 8	336.195	115.428	5.80156	3.75847	2.04309	6.53843e-008	0.647837	0.352163	1.12701e-008		0.948344	0.0416882	0.00289779	0.00707041	0	0.0877061	0.164705	0.213592	0.533997	0	
Seg 9	340.785	115.876	5.73608	3.67937	2.05671	6.78987e-008	0.641443	0.358557	1.18371e-008		0.948485	0.0415234	0.00290519	0.00708692	0	0.0888013	0.164603	0.213308	0.533287	0	
Seg 10	346.432	116.293	5.65616	3.58499	2.07117	7.05246e-008	0.63382	0.36618	1.24686e-008		0.948744	0.0412614	0.00290663	0.00708842	0	0.0901732	0.164479	0.212952	0.532396	0	
Seg 11	352.107	116.724	5.58194	3.49035	2.0916	7.44114e-008	0.625292	0.374708	1.33307e-008		0.948981	0.0410167	0.00290942	0.00709321	0	0.0915455	0.164359	0.212594	0.531501	0	
Seg 12	357.814	117.113	5.51068	3.3978	2.11288	7.85294e-008	0.616584	0.383416	1.42504e-008		0.949238	0.040759	0.00291015	0.00709295	0	0.0929311	0.164238	0.212233	0.530598	0	
Seg 13	363.555	117.459	5.44216	3.30724	2.13492	8.28869e-008	0.607707	0.392293	1.52305e-008		0.949516	0.0404875	0.00290873	0.0070874	0	0.0943311	0.164114	0.211868	0.529687	0	
Seg 14	369.333	117.76	5.37615	3.21859	2.15756	8.74918e-008	0.59868	0.40132	1.62741e-008		0.949817	0.0402018	0.0029051	0.00707643	0	0.0957467	0.163988	0.211499	0.528766	0	
Seg 15	375.149	118.017	5.31245	3.13185	2.1806	9.23505e-008	0.589531	0.410469	1.73838e-008		0.950139	0.0399018	0.00289925	0.00706	0	0.0971788	0.163859	0.211127	0.527835	0	
Seg 16	381.007	118.229	5.25085	3.04705	2.2038	9.74683e-008	0.580296	0.419704	1.85624e-008		0.950483	0.0395877	0.0028912	0.00703818	0	0.0986278	0.163726	0.210751	0.526895	0	
Seg 17	386.905	118.397	5.19115	2.96428	2.22687	1.02849e-007	0.571026	0.428974	1.98123e-008		0.950848	0.0392601	0.00288104	0.00701118	0	0.100094	0.163589	0.210372	0.525946	0	
Seg 18	392.844	118.522	5.13315	2.88372	2.24943	1.08492e-007	0.561783	0.438217	2.11357e-008		0.951231	0.0389203	0.00286891	0.00697936	0	0.101577	0.163447	0.209989	0.524988	0	
Seg 19	398.821	118.609	5.07664	2.8056	2.27105	1.14399e-007	0.552648	0.447352	2.25343e-008		0.951632	0.0385699	0.00285502	0.00694324	0	0.103076	0.1633	0.209602	0.524022	0	
Seg 20	401.267	118.66	5.06313	2.77312	2.29	1.20564e-007	0.54771	0.45229	2.38121e-008		0.951779	0.038439	0.00285046	0.00693119	0	0.103685	0.163246	0.209444	0.523626	0	
Seg 21	403.715	118.66	5.04473	2.74272	2.30201	1.25061e-007	0.54368	0.45632	2.47905e-008		0.951961	0.0382842	0.00284297	0.00691201	0	0.104305	0.163187	0.209283	0.523225	0	
Seg 22	406.164	118.659	5.02643	2.71386	2.31257	1.29656e-007	0.539918	0.460082	2.57948e-008		0.95214	0.0381309	0.00283562	0.00689315	0	0.104926	0.163125	0.209124	0.522825	0	
Seg 23	408.613	118.659	5.00818	2.68676	2.32142	1.34339e-007	0.536475	0.463525	2.6824e-008		0.952318	0.0379789	0.0028284	0.00687461	0	0.105546	0.16306	0.208965	0.522429	0	


0.947681 0.0427032 0.00279198 0.00682352 0 0.0791717 0.165522 0.215798 0.539508 0 0.947729 0.0425984 0.00280883 0.00686333 0 0.0802247 0.165419 0.215526 0.53883 0 0.947785 0.0424891 0.00282486 0.00690111 0 0.0812798 0.165316 0.215254 0.53815 0 0.947849 0.0423743 0.00283995 0.00693657 0 0.082338 0.165213 0.214981 0.537468 0 0.947923 0.0422532 0.00285401 0.00696947 0 0.0834001 0.165111 0.214707 0.536782 0 0.948009 0.0421248 0.00286691 0.00699954 0 0.0844671 0.165009 0.214431 0.536093 0 0.948107 0.0419883 0.00287857 0.00702653 0 0.0855398 0.164908 0.214153 0.535399 0 0.948218 0.041843 0.00288889 0.00705022 0 0.0866192 0.164806 0.213874 0.534701 0 0.948344 0.0416882 0.00289779 0.00707041 0 0.0877061 0.164705 0.213592 0.533997 0 0.948485 0.0415234 0.00290519 0.00708692 0 0.0888013 0.164603 0.213308 0.533287 0 0.948744 0.0412614 0.00290663 0.00708842 0 0.0901732 0.164479 0.212952 0.532396 0 0.948981 0.0410167 0.00290942 0.00709321 0 0.0915455 0.164359 0.212594 0.531501 0 0.949238 0.040759 0.00291015 0.00709295 0 0.0929311 0.164238 0.212233 0.530598 0 0.949516 0.0404875 0.00290873 0.0070874 0 0.0943311 0.164114 0.211868 0.529687 0 0.949817 0.0402018 0.0029051 0.00707643 0 0.0957467 0.163988 0.211499 0.528766 0 0.950139 0.0399018 0.00289925 0.00706 0 0.0971788 0.163859 0.211127 0.527835 0 0.950483 0.0395877 0.0028912 0.00703818 0 0.0986278 0.163726 0.210751 0.526895 0 0.950848 0.0392601 0.00288104 0.00701118 0 0.100094 0.163589 0.210372 0.525946 0 0.951231 0.0389203 0.00286891 0.00697936 0 0.101577 0.163447 0.209989 0.524988 0 0.951632 0.0385699 0.00285502 0.00694324 0 0.103076 0.1633 0.209602 0.524022 0 0.951779 0.038439 0.00285046 0.00693119 0 0.103685 0.163246 0.209444 0.523626 0 0.951961 0.0382842 0.00284297 0.00691201 0 0.104305 0.163187 0.209283 0.523225 0 0.95214 0.0381309 0.00283562 0.00689315 0 0.104926 0.163125 0.209124 0.522825 0 0.952318 0.0379789 0.0028284 0.00687461 0 0.105546 0.16306 0.208965 0.522429 0 0.00127416	300       	112.715   	21.4974   	1921.39   	0.000252094	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 0	300	112.714	6.44515	4.29157	2.15358	2.82792e-007	0.66586	0.33414	4.38767e-008		0.946171	0.0438191	0.00290625	0.00710411	0	0.0788048	0.165834	0.215813	0.539548	0	
Seg 1	304.905	113.218	6.35205	4.19396	2.15809	2.85737e-007	0.660253	0.339747	4.49834e-008		0.946394	0.0435791	0.00291162	0.00711554	0	0.0799937	0.165718	0.215506	0.538781	0	
Seg 2	309.8	113.704	6.26205	4.09947	2.16258	2.88739e-007	0.654653	0.345347	4.61094e-008		0.946617	0.0433406	0.00291651	0.00712579	0	0.0811805	0.165602	0.215201	0.538017	0	
Seg 3	314.689	114.171	6.17496	4.00791	2.16704	2.91799e-007	0.649059	0.350941	4.72552e-008		0.946841	0.0431032	0.00292086	0.00713471	0	0.0823657	0.165484	0.214896	0.537255	0	
Seg 4	319.572	114.618	6.09059	3.91913	2.17147	2.94916e-007	0.643472	0.356528	4.84216e-008		0.947067	0.0428659	0.00292462	0.00714218	0	0.0835498	0.165366	0.214591	0.536494	0	
Seg 5	324.449	115.046	6.0088	3.83295	2.17585	2.98091e-007	0.63789	0.36211	4.96091e-008		0.947296	0.0426283	0.00292772	0.00714803	0	0.0847334	0.165246	0.214287	0.535734	0	
Seg 6	329.322	115.454	5.92943	3.74925	2.18017	3.01323e-007	0.632313	0.367687	5.08183e-008		0.947528	0.0423897	0.00293011	0.00715215	0	0.0859169	0.165126	0.213983	0.534974	0	
Seg 7	334.191	115.84	5.85233	3.66789	2.18443	3.04612e-007	0.626741	0.373259	5.20497e-008		0.947764	0.0421495	0.00293174	0.00715439	0	0.0871007	0.165004	0.21368	0.534215	0	
Seg 8	339.058	116.205	5.77737	3.58875	2.18862	3.07958e-007	0.621174	0.378826	5.33041e-008		0.948005	0.0419073	0.00293256	0.00715464	0	0.0882855	0.164882	0.213376	0.533456	0	
Seg 9	343.924	116.548	5.70444	3.51172	2.19272	3.1136e-007	0.615611	0.384389	5.45819e-008		0.948252	0.0416626	0.00293252	0.00715277	0	0.0894716	0.164759	0.213072	0.532697	0	
Seg 10	349.874	116.868	5.61668	3.41959	2.19709	3.14816e-007	0.608828	0.391172	5.60503e-008		0.948611	0.0413246	0.00292699	0.00713706	0	0.0909396	0.16461	0.212695	0.531755	0	
Seg 11	355.811	117.168	5.53229	3.33011	2.20218	3.19793e-007	0.601941	0.398059	5.78049e-008		0.948968	0.0409909	0.00292103	0.00712032	0	0.0924045	0.164461	0.21232	0.530815	0	
Seg 12	361.734	117.442	5.45077	3.24372	2.20705	3.2487e-007	0.595094	0.404906	5.96008e-008		0.949326	0.0406582	0.00291432	0.00710173	0	0.0938678	0.164309	0.211945	0.529878	0	
Seg 13	367.645	117.69	5.37192	3.16025	2.21167	3.30045e-007	0.588291	0.411709	6.14389e-008		0.949686	0.0403258	0.0029068	0.00708117	0	0.09533	0.164156	0.211571	0.528943	0	
