KVALUES
Results of phase equilibrium constant Ki at temperature = 530

P(psia)  K[1]	K[2]	K[3]	K[4]	K[5]	K[6]	K[7]	K[8]	K[9]	
     115    8.195994    60.56598    27.31878    3.700587    1.092954   0.1744443  0.07134661  0.0004539779  7.025597e-008  
     116    8.130262     60.0527    27.08287    3.670873    1.084516   0.1731937  0.07086484  0.0004518372  7.016889e-008  
     117    8.065627    59.54787    26.85099    3.641669    1.076225   0.1719649   0.0703915  0.0004497372  7.008611e-008  
     118    8.002064    59.05129    26.62303    3.612963    1.068077   0.1707574  0.06992638  0.0004476771  7.000755e-008  
     119    7.939545    58.56276    26.39888    3.584741    1.060068   0.1695708  0.06946927  0.0004456558  6.993313e-008  
     120    7.878044    58.08208    26.17846    3.556991    1.052194   0.1684044  0.06901996  0.0004436724  6.986276e-008  
     121    7.817537    57.60906    25.96166    3.529702    1.044453   0.1672578  0.06857828  0.000441726  6.979639e-008  
     122       7.758    57.14352    25.74842    3.502862     1.03684   0.1661305  0.06814403  0.0004398158  6.973392e-008  
     123    7.699409    56.68529    25.53862     3.47646    1.029354    0.165022  0.06771703  0.0004379409  6.96753e-008  
     124    7.641742    56.23418    25.33221    3.450486     1.02199   0.1639318   0.0672971  0.0004361005  6.962045e-008  
     125    7.584976    55.79004    25.12908    3.424929    1.014745   0.1628596  0.06688408  0.0004342938  6.956931e-008  
     126    7.529092     55.3527    24.92917     3.39978    1.007618   0.1618048  0.06647781  0.0004325201  6.952182e-008  
     127    7.474068    54.92201     24.7324    3.375028    1.000605   0.1607672  0.06607812  0.0004307786  6.947791e-008  
     128    7.419884    54.49781     24.5387    3.350665   0.9937027   0.1597462  0.06568486  0.0004290686  6.943752e-008  
     129    7.366522    54.07997      24.348    3.326681   0.9869095   0.1587414  0.06529788  0.0004273894  6.940061e-008  
     130    7.313962    53.66833    24.16022    3.303068   0.9802225   0.1577526  0.06491704  0.0004257404  6.936711e-008  
     131    7.262187    53.26276     23.9753    3.279817   0.9736394   0.1567793   0.0645422  0.0004241208  6.933696e-008  
     132    7.211179    52.86313    23.79317     3.25692   0.9671577   0.1558212  0.06417322  0.0004225301  6.931012e-008  
     133    7.160921    52.46931    23.61378    3.234368   0.9607751   0.1548779  0.06380997  0.0004209677  6.928654e-008  
