KVALUES
Results of phase equilibrium constant Ki at temperature = 563.4

P(psia)  K[1]	K[2]	
    5580    33.72311  0.06558927  
    5590    33.70904   0.0656547  
    5600    33.69498  0.06572005  
    5610    33.68095   0.0657853  
    5620    33.66695  0.06585047  
    5630    33.65297  0.06591554  
    5640    33.63902  0.06598052  
    5650    33.62508  0.06604541  
    5660    33.61118  0.06611021  
    5670     33.5973  0.06617492  
    5680    33.58344  0.06623955  
    5690     33.5696  0.06630408  
    5700    33.55579  0.06636852  
    5710      33.542  0.06643288  
    5720    33.52824  0.06649715  
    5730     33.5145  0.06656133  
    5740    33.50079  0.06662542  
    5750    33.48709  0.06668942  
    5760    33.47342  0.06675334  
    5770    33.45978  0.06681717  
    5780    33.44615  0.06688091  
    5790    33.43256  0.06694457  
    5800    33.41898  0.06700814  
    5810    33.40543  0.06707162  
    5820    33.39189  0.06713502  
    5830    33.37839  0.06719833  
    5840     33.3649  0.06726156  
    5850    33.35144   0.0673247  
    5860      33.338  0.06738775  
    5870    33.32458  0.06745073  
    5880    33.31119  0.06751361  
    5890    33.29782  0.06757642  
    5900    33.28447  0.06763914  
    5910    33.27114  0.06770177  
    5920    33.25784  0.06776433  
    5930    33.24456   0.0678268  
    5940    33.23129  0.06788918  
    5950    33.21806  0.06795149  
    5960    33.20484  0.06801371  
    5970    33.19165  0.06807585  
    5980    33.17847   0.0681379  
    5990    33.16532  0.06819988  
    6000    33.15219  0.06826177  
    6010    33.13909  0.06832359  
    6020      33.126  0.06838532  
    6030    33.11294  0.06844697  
    6040    33.09989  0.06850854  
    6050    33.08687  0.06857003  
    6060    33.07387  0.06863144  
    6070    33.06089  0.06869277  
    6080    33.04793  0.06875402  
    6090      33.035  0.06881519  
    6100    33.02208  0.06887628  
    6110    33.00919  0.06893729  
    6120    32.99631  0.06899822  
    6130    32.98346  0.06905908  
    6140    32.97063  0.06911985  
    6150    32.95782  0.06918055  
    6160    32.94506  0.06924111  
    6170    32.93229  0.06930165  
    6180    32.91954  0.06936211  
    6190    32.90681   0.0694225  
    6200    32.89411  0.06948281  
    6210    32.88142  0.06954304  
    6220    32.86875   0.0696032  
    6230     32.8561  0.06966327  
    6240    32.84348  0.06972328  
    6250    32.83087   0.0697832  
    6260    32.81828  0.06984305  
    6270    32.80572  0.06990283  
    6280    32.79317  0.06996252  
    6290    32.78064  0.07002215  
    6300    32.76814   0.0700817  
    6310    32.75565  0.07014117  
    6320    32.74318  0.07020057  
    6330    32.73074  0.07025989  
    6340    32.71831  0.07031914  
    6350     32.7059  0.07037831  
    6360    32.69351  0.07043741  
    6370    32.68114  0.07049644  
    6380    32.66879  0.07055539  
    6390    32.65646  0.07061427  
    6400    32.64415  0.07067308  
    6410    32.63186  0.07073181  
    6420    32.61959  0.07079047  
    6430    32.60733  0.07084906  
    6440     32.5951  0.07090758  
    6450    32.58288  0.07096602  
    6460    32.57069  0.07102439  
    6470    32.55851  0.07108269  
    6480    32.54635  0.07114092  
    6490    32.53421  0.07119907  
    6500    32.52209  0.07125716  
    6510    32.50999  0.07131517  
    6520    32.49791  0.07137311  
    6530    32.48584  0.07143098  
    6540    32.47379  0.07148878  
    6550    32.46177  0.07154651  
    6560    32.44976  0.07160417  
    6570    32.43777  0.07166176  
