Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 26	511.284	99.67	3.29712	2.8169	0.480227	3.10307e-014	0.854296	0.145704	9.41193e-015		0.965002	0.0290853	0.00202026	0.00389267	0	0.138087	0.177254	0.228216	0.456443	0	
Seg 27	511.649	99.67	3.13916	2.68168	0.457485	5.75651e-014	0.854209	0.145791	1.83591e-014		0.965007	0.029081	0.00201987	0.00389182	0	0.138181	0.177284	0.228175	0.45636	0	
Seg 28	511.979	99.67	2.98352	2.5485	0.435021	1.09357e-013	0.854133	0.145867	3.66745e-014		0.965012	0.0290773	0.00201951	0.00389105	0	0.138267	0.177313	0.228137	0.456284	0	
Seg 29	512.276	99.67	2.82996	2.41716	0.412803	2.1283e-013	0.854069	0.145931	7.52572e-014		0.965016	0.0290741	0.00201919	0.00389035	0	0.138344	0.177338	0.228102	0.456216	0	
Seg 30	512.542	99.67	2.67827	2.28748	0.390793	4.25326e-013	0.854022	0.145978	1.58881e-013		0.96502	0.029071	0.0020189	0.00388974	0	0.138412	0.177361	0.228072	0.456155	0	
Seg 31	512.78	99.67	2.52826	2.15932	0.36894	8.73801e-013	0.854004	0.145996	3.45768e-013		0.965024	0.029068	0.00201865	0.00388919	0	0.138474	0.177379	0.228045	0.456102	0	
Seg 32	512.99	99.67	2.37974	2.03258	0.347159	1.84963e-012	0.854045	0.145955	7.77615e-013		0.965028	0.029065	0.00201843	0.00388873	0	0.138528	0.177393	0.228022	0.456057	0	
Seg 33	513.175	99.67	2.23254	1.90726	0.325281	4.04421e-012	0.854221	0.145779	1.81246e-012		0.965032	0.0290619	0.00201825	0.00388833	0	0.138576	0.177402	0.228003	0.456019	0	
Seg 34	513.337	99.67	2.08649	1.78357	0.302922	9.15928e-012	0.854733	0.145267	4.39237e-012		0.965035	0.0290586	0.00201809	0.00388799	0	0.138617	0.177407	0.227988	0.455988	0	
Seg 35	513.476	99.67	1.94144	1.66231	0.279132	2.15555e-011	0.856133	0.143867	1.11099e-011		0.965039	0.0290555	0.00201796	0.00388771	0	0.138653	0.177409	0.227975	0.455963	0	
Seg 36	513.592	99.67	1.79727	1.54587	0.251399	5.291e-011	0.860023	0.139977	2.94598e-011		0.965042	0.0290526	0.00201786	0.00388749	0	0.138683	0.177409	0.227965	0.455943	0	
Seg 37	513.685	99.67	1.65383	1.44113	0.212697	1.36052e-010	0.871286	0.128714	8.23323e-011		0.965045	0.0290501	0.00201778	0.00388731	0	0.138707	0.177408	0.227957	0.455927	0	


