Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
0.954591 0.0379663 0.00252063 0.00492221 0 0.0821618 0.170405 0.249156 0.498277 0 0.954825 0.0377757 0.00250606 0.00489278 0 0.0829868 0.170705 0.248781 0.497527 0 0.955054 0.0375894 0.00249195 0.00486428 0 0.0838047 0.170996 0.248411 0.496788 0 0.955278 0.0374072 0.00247828 0.00483667 0 0.0846156 0.171276 0.248048 0.496061 0 0.955496 0.037229 0.00246504 0.00480991 0 0.0854198 0.171546 0.247689 0.495345 0 0.955709 0.0370547 0.0024522 0.00478395 0 0.0862175 0.171808 0.247336 0.494639 0 0.955917 0.0368841 0.00243975 0.00475876 0 0.087009 0.172061 0.246987 0.493943 0 0.956121 0.0367171 0.00242767 0.00473431 0 0.0877942 0.172306 0.246644 0.493256 0 0.95632 0.0365535 0.00241594 0.00471056 0 0.0885736 0.172543 0.246305 0.492579 0 0.956515 0.0363932 0.00240455 0.00468749 0 0.0893471 0.172772 0.24597 0.491911 0 0.956772 0.0361809 0.00238962 0.00465723 0 0.0903873 0.17307 0.245524 0.491019 0 0.957022 0.0359744 0.00237527 0.00462812 0 0.0914167 0.173356 0.245085 0.490142 0 0.957265 0.0357734 0.00236146 0.0046001 0 0.0924357 0.173629 0.244654 0.489281 0 0.957501 0.0355777 0.00234816 0.0045731 0 0.0934447 0.173891 0.24423 0.488434 0 0.95773 0.0353871 0.00233535 0.00454708 0 0.0944439 0.174141 0.243814 0.487602 0 0.957954 0.0352013 0.00232301 0.00452199 0 0.0954337 0.17438 0.243404 0.486783 0 0.958171 0.0350201 0.00231111 0.00449777 0 0.0964145 0.174609 0.243 0.485976 0 0.958383 0.0348434 0.00229962 0.00447438 0 0.0973864 0.174829 0.242603 0.485182 0 0.958589 0.0346709 0.00228854 0.0044518 0 0.0983499 0.175039 0.242211 0.4844 0 0.95879 0.0345025 0.00227783 0.00442996 0 0.0993051 0.17524 0.241825 0.48363 0 0.958912 0.0343996 0.00227135 0.00441674 0 0.0998957 0.175361 0.241588 0.483155 0 0.959033 0.0342984 0.00226502 0.0044038 0 0.100482 0.175479 0.241353 0.482686 0 0.959151 0.0341988 0.00225882 0.00439115 0 0.101065 0.175593 0.24112 0.482221 0 0.959268 0.0341007 0.00225277 0.00437878 0 0.101644 0.175704 0.24089 0.481761 0 0.00785375	300       	99.67     	67.0903   	493.304   	0.000484808	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 0	300	99.67	13.9463	13.3933	0.552918	5.38087e-007	0.960354	0.0396463	3.85829e-008		0.9545	0.0380604	0.00251951	0.00492	0	0.0821629	0.170821	0.249016	0.498	0	
Seg 1	302.845	99.67	13.8078	13.2544	0.553423	5.38432e-007	0.959919	0.0400805	3.89948e-008		0.954721	0.0378808	0.00250584	0.0048924	0	0.0829366	0.171103	0.248664	0.497297	0	
Seg 2	305.67	99.67	13.6729	13.119	0.553919	5.38781e-007	0.959488	0.0405122	3.94049e-008		0.954937	0.0377051	0.00249257	0.00486561	0	0.0837041	0.171375	0.248317	0.496604	0	
Seg 3	308.474	99.67	13.5415	12.9871	0.554408	5.39133e-007	0.959059	0.0409413	3.98133e-008		0.955148	0.0375331	0.0024797	0.0048396	0	0.0844656	0.171639	0.247975	0.49592	0	
Seg 4	311.258	99.67	13.4134	12.8586	0.554888	5.39488e-007	0.958632	0.041368	4.022e-008		0.955354	0.0373646	0.0024672	0.00481434	0	0.0852212	0.171895	0.247638	0.495246	0	
Seg 5	314.023	99.67	13.2885	12.7332	0.555361	5.39847e-007	0.958208	0.0417925	4.0625e-008		0.955556	0.0371995	0.00245506	0.0047898	0	0.0859712	0.172142	0.247305	0.494581	0	
Seg 6	316.77	99.67	13.1667	12.6109	0.555826	5.4021e-007	0.957785	0.0422146	4.10285e-008		0.955753	0.0370377	0.00244326	0.00476594	0	0.0867156	0.172382	0.246977	0.493925	0	
Seg 7	319.498	99.67	13.0478	12.4915	0.556285	5.40575e-007	0.957365	0.0426345	4.14305e-008		0.955946	0.0368791	0.0024318	0.00474273	0	0.0874547	0.172614	0.246653	0.493278	0	
Seg 8	322.209	99.67	12.9316	12.3749	0.556736	5.40945e-007	0.956948	0.0430523	4.18312e-008		0.956136	0.0367236	0.00242065	0.00472016	0	0.0881885	0.172839	0.246333	0.492639	0	
Seg 9	324.903	99.67	12.8182	12.261	0.557181	5.41317e-007	0.956532	0.043468	4.22304e-008		0.956321	0.0365711	0.0024098	0.0046982	0	0.0889171	0.173058	0.246017	0.492008	0	
Seg 10	328.522	99.67	12.6688	12.111	0.557774	5.41691e-007	0.955973	0.0440273	4.27579e-008		0.956566	0.0363692	0.00239558	0.0046694	0	0.0898953	0.173343	0.245596	0.491166	0	
Seg 11	332.109	99.67	12.524	11.9657	0.558354	5.4223e-007	0.955417	0.0445826	4.32952e-008		0.956804	0.0361725	0.00238189	0.00464163	0	0.0908638	0.173616	0.245182	0.490339	0	
Seg 12	335.663	99.67	12.3836	11.8247	0.558923	5.42774e-007	0.954866	0.045134	4.383e-008		0.957036	0.0359809	0.00236868	0.00461484	0	0.0918229	0.173878	0.244775	0.489525	0	
Seg 13	339.188	99.67	12.2474	11.6879	0.559481	5.43325e-007	0.954318	0.0456817	4.43625e-008		0.957261	0.035794	0.00235594	0.00458899	0	0.0927731	0.174129	0.244374	0.488724	0	
Seg 14	342.683	99.67	12.1151	11.5551	0.560029	5.43881e-007	0.953774	0.0462256	4.48928e-008		0.957481	0.0356117	0.00234365	0.00456402	0	0.0937144	0.17437	0.24398	0.487936	0	
Seg 15	346.15	99.67	11.9866	11.426	0.560567	5.44444e-007	0.953234	0.0467661	4.5421e-008		0.957694	0.0354339	0.00233178	0.00453989	0	0.0946473	0.174601	0.243591	0.487161	0	
Seg 16	349.589	99.67	11.8617	11.3006	0.561095	5.45013e-007	0.952697	0.0473031	4.59473e-008		0.957903	0.0352602	0.00232031	0.00451657	0	0.0955719	0.174823	0.243209	0.486396	0	
Seg 17	353.001	99.67	11.7402	11.1786	0.561614	5.45588e-007	0.952163	0.0478368	4.64717e-008		0.958106	0.0350906	0.00230922	0.00449401	0	0.0964886	0.175036	0.242832	0.485644	0	
Seg 18	356.387	99.67	11.622	11.0599	0.562125	5.46169e-007	0.951633	0.0483673	4.69944e-008		0.958304	0.0349249	0.0022985	0.00447218	0	0.0973975	0.17524	0.242461	0.484902	0	
Seg 19	359.748	99.67	11.5069	10.9443	0.562627	5.46756e-007	0.951105	0.0488947	4.75155e-008		0.958498	0.0347629	0.00228813	0.00445104	0	0.0982988	0.175437	0.242094	0.48417	0	
Seg 20	361.813	99.67	11.4372	10.8743	0.562931	5.47351e-007	0.950781	0.0492193	4.78571e-008		0.958615	0.0346646	0.00228188	0.00443831	0	0.0988524	0.175554	0.241871	0.483723	0	
Seg 21	363.866	99.67	11.3688	10.8055	0.563233	5.47773e-007	0.950458	0.0495422	4.81823e-008		0.958731	0.0345678	0.00227577	0.00442585	0	0.0994023	0.175669	0.241649	0.48328	0	
Seg 22	365.907	99.67	11.3015	10.738	0.563531	5.48197e-007	0.950136	0.0498635	4.85067e-008		0.958844	0.0344725	0.00226979	0.00441365	0	0.0999487	0.17578	0.241429	0.482842	0	
Seg 23	367.936	99.67	11.2354	10.6715	0.563826	5.48625e-007	0.949817	0.0501832	4.88302e-008		0.958956	0.0343785	0.00226394	0.00440169	0	0.100492	0.175888	0.241212	0.482408	0	


