Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
0.954069 0.0385069 0.00251422 0.00490945 0 0.082168 0.172796 0.248356 0.49668 0 0.954838 0.0378668 0.00247173 0.00482362 0 0.0846777 0.173424 0.247309 0.494589 0 0.955546 0.0372755 0.00243293 0.00474515 0 0.0871334 0.174013 0.246294 0.49256 0 0.956205 0.0367235 0.00239759 0.00467357 0 0.0895297 0.174537 0.24532 0.490613 0 0.956821 0.036206 0.00236524 0.00460796 0 0.0918738 0.175003 0.244383 0.48874 0 0.957398 0.0357188 0.00233549 0.00454753 0 0.094173 0.175419 0.243477 0.48693 0 0.957942 0.0352583 0.00230802 0.00449164 0 0.096434 0.175791 0.242599 0.485176 0 0.958456 0.0348214 0.00228256 0.00443975 0 0.0986628 0.176123 0.241745 0.483469 0 0.95848 0.0348236 0.00227397 0.00442232 0 0.0993092 0.176836 0.241291 0.482563 0 0.958626 0.0346994 0.00226686 0.0044078 0 0.099968 0.176929 0.241041 0.482062 0 0.958837 0.0345196 0.00225663 0.0043869 0 0.100936 0.177064 0.240673 0.481327 0 0.959058 0.0343307 0.00224612 0.00436541 0 0.101961 0.17719 0.240289 0.48056 0 0.959286 0.034135 0.00223545 0.00434358 0 0.103033 0.177307 0.239892 0.479767 0 0.959521 0.0339325 0.00222465 0.00432146 0 0.104153 0.177415 0.239483 0.478949 0 0.959764 0.0337228 0.00221372 0.00429903 0 0.105325 0.177511 0.23906 0.478104 0 0.960016 0.0335053 0.00220266 0.0042763 0 0.106554 0.177594 0.238622 0.47723 0 0.960276 0.0332798 0.00219146 0.00425326 0 0.107845 0.177663 0.238169 0.476324 0 0.960544 0.0330455 0.00218013 0.0042299 0 0.109202 0.177716 0.237698 0.475384 0 0.960823 0.0328021 0.00216866 0.00420623 0 0.110633 0.177752 0.237209 0.474406 0 0.961111 0.0325493 0.00215708 0.00418226 0 0.112142 0.177769 0.2367 0.473389 0 0.961254 0.0324239 0.00215147 0.00417064 0 0.112898 0.177768 0.236448 0.472885 0 0.9614 0.0322956 0.00214579 0.00415886 0 0.11368 0.177765 0.236188 0.472367 0 0.961549 0.0321641 0.00214005 0.00414692 0 0.114491 0.177757 0.235921 0.471832 0 0.961701 0.0320295 0.00213424 0.00413483 0 0.11533 0.177745 0.235645 0.47128 0 0.958678 0.0346148 0.00227761 0.00442957 0 0.0992208 0.175706 0.241698 0.483375 0 0.958805 0.0345061 0.00227148 0.00441705 0 0.0997886 0.175776 0.241486 0.482949 0 0.958933 0.0343973 0.00226537 0.00440457 0 0.100363 0.175846 0.241271 0.48252 0 0.95906 0.0342883 0.00225927 0.00439211 0 0.100945 0.175915 0.241053 0.482086 0 0.959188 0.0341791 0.0022532 0.00437969 0 0.101535 0.175984 0.240834 0.481647 0 0.959316 0.0340696 0.00224714 0.0043673 0 0.102132 0.176052 0.240612 0.481204 0 0.959444 0.0339599 0.0022411 0.00435493 0 0.102737 0.176119 0.240388 0.480756 0 0.959572 0.03385 0.00223508 0.0043426 0 0.103351 0.176186 0.240161 0.480303 0 0.959701 0.0337397 0.00222907 0.00433028 0 0.103973 0.176252 0.239931 0.479844 0 0.95983 0.0336292 0.00222308 0.004318 0 0.104604 0.176318 0.239699 0.47938 0 0.959959 0.0335185 0.0022171 0.00430573 0 0.105244 0.176383 0.239464 0.478909 0 0.960088 0.0334074 0.00221114 0.00429349 0 0.105894 0.176448 0.239225 0.478433 0 0.960217 0.0332961 0.00220519 0.00428128 0 0.106553 0.176512 0.238984 0.477951 0 0.960347 0.0331845 0.00219926 0.00426909 0 0.107223 0.176576 0.238739 0.477462 0 0.000395024	300       	99.67     	121.631   	1373.87   	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 0	300	99.67	25.8215	24.2816	1.53991	0	0.940363	0.0596368	0		0.953863	0.0387211	0.00251167	0.00490439	0	0.0821704	0.173743	0.248039	0.496048	0	
Seg 1	312.2	99.67	24.7592	23.2127	1.54656	0	0.930778	0.069222	0		0.954892	0.0378586	0.00245645	0.00479284	0	0.0854854	0.174479	0.246687	0.493348	0	
Seg 2	324.057	99.67	23.8078	22.2546	1.55321	0	0.927092	0.0729081	0		0.955827	0.0370709	0.00240774	0.00469423	0	0.0886972	0.175093	0.245412	0.490798	0	
Seg 3	335.556	99.67	22.9532	21.3933	1.55986	0	0.923929	0.0760714	0		0.956676	0.0363521	0.00236465	0.00460685	0	0.0918025	0.175607	0.244205	0.488386	0	
Seg 4	346.729	99.67	22.1804	20.6139	1.56655	0	0.920858	0.0791417	0		0.957452	0.0356928	0.00232631	0.00452894	0	0.0948111	0.176038	0.243058	0.486093	0	
Seg 5	357.609	99.67	21.4774	19.9041	1.57331	0	0.917842	0.082158	0		0.958164	0.0350852	0.00229201	0.00445909	0	0.0977322	0.176398	0.241963	0.483907	0	
Seg 6	368.222	99.67	20.8344	19.2543	1.58016	0	0.914871	0.0851292	0		0.95882	0.0345228	0.00226118	0.00439617	0	0.100574	0.176695	0.240916	0.481814	0	
