Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)
days	psi	Mscf/d	stb/d
0         	0         	-         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	X[0]	X[1]	X[2]	X[3]	
Seg 14	510.347	160	8.72815	3.40787	5.32028	0	0.390446	0.609554	0		0.855863	0.0278993	0.113885	0.00235259	0.115971	0.00770675	0.312564	0.563758	
Seg 15	523.547	160	8.53078	3.19978	5.331	0	0.375087	0.624913	0		0.857909	0.0277036	0.112042	0.00234469	0.119068	0.0078222	0.311891	0.561219	
Seg 16	536.617	160	8.34605	3.00451	5.34153	0	0.359993	0.640007	0		0.859842	0.0275114	0.110308	0.00233838	0.122125	0.00793329	0.311207	0.558734	
Seg 17	549.569	160	8.17268	2.82078	5.3519	0	0.345148	0.654852	0		0.861671	0.0273224	0.108673	0.00233352	0.125145	0.00804032	0.310513	0.556301	
Seg 18	562.413	160	8.0096	2.64747	5.36213	0	0.330537	0.669463	0		0.863406	0.0271368	0.107127	0.00233	0.128132	0.00814354	0.309811	0.553914	
Seg 19	575.157	160	7.85583	2.48361	5.37222	0	0.316149	0.683851	0		0.865054	0.0269543	0.105664	0.00232772	0.131087	0.00824319	0.309101	0.551569	
Seg 20	587.811	160	7.71056	2.32836	5.3822	0	0.301971	0.698029	0		0.866622	0.0267749	0.104277	0.00232659	0.134012	0.00833947	0.308385	0.549264	
Seg 21	596.415	160	7.61572	2.22677	5.38895	0	0.292391	0.707609	0		0.867651	0.026654	0.103368	0.00232645	0.135995	0.00840347	0.307891	0.54771	
Seg 22	604.916	160	7.52499	2.12938	5.39561	0	0.282974	0.717026	0		0.868641	0.0265353	0.102497	0.00232677	0.137952	0.00846556	0.3074	0.546183	
Seg 23	613.32	160	7.43809	2.03591	5.40218	0	0.273714	0.726286	0		0.869592	0.026419	0.101661	0.00232755	0.139882	0.00852585	0.30691	0.544683	
Seg 24	621.629	160	7.35475	1.94609	5.40866	0	0.264603	0.735397	0		0.870508	0.0263047	0.100858	0.00232874	0.141786	0.00858442	0.306421	0.543208	
Seg 25	629.848	160	7.27475	1.85969	5.41507	0	0.255636	0.744364	0		0.871391	0.0261926	0.100086	0.00233033	0.143666	0.00864135	0.305935	0.541757	
Seg 26	637.981	160	7.19788	1.7765	5.42139	0	0.246808	0.753192	0		0.872242	0.0260824	0.099343	0.00233229	0.145523	0.00869672	0.30545	0.54033	
Seg 27	646.03	160	7.12395	1.69631	5.42764	0	0.238114	0.761886	0		0.873064	0.0259742	0.0986272	0.00233461	0.147357	0.0087506	0.304968	0.538924	
Seg 28	653.998	160	7.05277	1.61895	5.43382	0	0.229549	0.770451	0		0.873858	0.0258679	0.0979372	0.00233725	0.14917	0.00880306	0.304488	0.537539	
Seg 29	661.89	160	6.98419	1.54426	5.43993	0	0.221108	0.778892	0		0.874625	0.0257635	0.0972716	0.00234021	0.150961	0.00885415	0.304009	0.536175	
Seg 30	669.707	160	6.91806	1.47208	5.44598	0	0.212787	0.787213	0		0.875367	0.0256608	0.096629	0.00234347	0.152733	0.00890394	0.303534	0.53483	


0.246165  	300       	160       	47.1269   	4514.58   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	X[0]	X[1]	X[2]	X[3]	
Seg 0	300	160	14.4657	9.40643	5.0593	0	0.650256	0.349744	0		0.802043	0.0309337	0.164202	0.0028211	0.0654686	0.00532219	0.318111	0.611099	
Seg 1	317.402	160	13.6427	8.56437	5.0783	0	0.627764	0.372236	0		0.808842	0.0307223	0.157692	0.00274324	0.0697189	0.0055658	0.318311	0.606404	
Seg 2	334.144	160	12.9423	7.8466	5.09568	0	0.606277	0.393723	0		0.814804	0.0305042	0.152013	0.00267837	0.073798	0.00579108	0.318325	0.602086	
Seg 3	350.326	160	12.3372	7.22536	5.11183	0	0.585657	0.414343	0		0.820093	0.0302827	0.147	0.00262371	0.0777306	0.00600068	0.318197	0.598072	
Seg 4	366.027	160	11.8077	6.68073	5.12699	0	0.565794	0.434206	0		0.824832	0.0300601	0.142531	0.00257724	0.0815362	0.00619674	0.317959	0.594308	
Seg 5	381.312	160	11.3394	6.19811	5.14132	0	0.546598	0.453402	0		0.829112	0.0298381	0.138512	0.00253747	0.0852306	0.00638093	0.317636	0.590752	
Seg 6	396.233	160	10.9215	5.7665	5.15495	0	0.527998	0.472002	0		0.833007	0.0296175	0.134873	0.00250327	0.0888269	0.00655463	0.317245	0.587374	
Seg 7	410.834	160	10.5454	5.37744	5.168	0	0.509931	0.490069	0		0.836571	0.0293992	0.131556	0.00247377	0.0923359	0.006719	0.316798	0.584147	
Seg 8	425.15	160	10.2049	5.02433	5.18054	0	0.492346	0.507654	0		0.839852	0.0291835	0.128516	0.00244829	0.0957667	0.00687497	0.316306	0.581052	
Seg 9	439.213	160	9.89454	4.70188	5.19266	0	0.4752	0.5248	0		0.842886	0.0289707	0.125717	0.00242627	0.0991271	0.00702337	0.315777	0.578072	
Seg 10	453.049	160	9.61027	4.40587	5.2044	0	0.458455	0.541545	0		0.845703	0.0287612	0.123128	0.00240728	0.102424	0.00716488	0.315217	0.575194	
Seg 11	466.681	160	9.34863	4.13283	5.2158	0	0.442078	0.557922	0		0.848329	0.0285549	0.120725	0.00239095	0.105662	0.0073001	0.314631	0.572407	
Seg 12	480.129	160	9.10681	3.87989	5.22692	0	0.426042	0.573958	0		0.850785	0.0283519	0.118486	0.00237698	0.108848	0.00742954	0.314023	0.5697	
Seg 13	493.41	160	8.88246	3.64467	5.23779	0	0.410322	0.589678	0		0.853088	0.0281523	0.116394	0.00236512	0.111985	0.00755366	0.313396	0.567065	
Seg 14	506.541	160	8.67359	3.42516	5.24843	0	0.394895	0.605105	0		0.855255	0.027956	0.114434	0.00235516	0.115077	0.00767285	0.312754	0.564497	
Seg 15	519.533	160	8.47854	3.21967	5.25887	0	0.379743	0.620257	0		0.857298	0.0277629	0.112592	0.00234692	0.118127	0.00778746	0.312098	0.561987	
Seg 16	532.401	160	8.29586	3.02673	5.26913	0	0.364848	0.635152	0		0.859229	0.0275732	0.110858	0.00234026	0.12114	0.00789781	0.31143	0.559532	
Seg 17	545.153	160	8.12433	2.8451	5.27923	0	0.350195	0.649805	0		0.861057	0.0273866	0.109221	0.00233503	0.124117	0.00800419	0.310752	0.557127	
Seg 18	557.801	160	7.96289	2.67369	5.28919	0	0.335769	0.664231	0		0.862792	0.0272032	0.107674	0.00233112	0.127061	0.00810682	0.310065	0.554767	
Seg 19	570.352	160	7.8106	2.51157	5.29903	0	0.321559	0.678441	0		0.864441	0.0270228	0.106208	0.00232844	0.129974	0.00820596	0.30937	0.55245	
Seg 20	582.816	160	7.66665	2.3579	5.30875	0	0.307553	0.692447	0		0.866011	0.0268454	0.104817	0.00232691	0.132859	0.00830179	0.308669	0.550171	
Seg 21	591.261	160	7.57297	2.25767	5.31531	0	0.298122	0.701878	0		0.867039	0.0267263	0.103909	0.00232648	0.134808	0.00836529	0.308187	0.548639	
Seg 22	599.606	160	7.48332	2.16155	5.32177	0	0.288849	0.711151	0		0.868026	0.0266093	0.103038	0.00232651	0.136731	0.00842692	0.307707	0.547135	
Seg 23	607.856	160	7.39741	2.06926	5.32815	0	0.279728	0.720272	0		0.868977	0.0264945	0.102202	0.002327	0.138628	0.00848679	0.307229	0.545657	
Seg 24	616.014	160	7.315	1.98056	5.33444	0	0.270753	0.729247	0		0.869892	0.0263818	0.101398	0.00232789	0.1405	0.00854497	0.306752	0.544203	
