Results for well: MSWell_1_Seg.out in the reservoir: MSWell_1_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 7	3515.86	164.98	24.6895	8.41079	7.54984	8.72891	0.330799	0.310366	0.358836
Seg 8	3648.41	164.654	24.2072	7.85104	7.6306	8.72554	0.314692	0.319715	0.365593
Seg 9	3778.77	164.327	23.7728	7.33881	7.71173	8.72223	0.299316	0.3288	0.371884
Seg 10	3919.73	163.971	23.3433	6.82327	7.8014	8.71866	0.283197	0.338502	0.378301
Seg 11	4029.96	166.283	19.8145	5.53852	6.74358	7.53237	0.265083	0.347155	0.387762
Seg 12	4137.92	166.196	19.3567	5.08064	6.74621	7.52981	0.248506	0.355123	0.396371
Seg 13	4243.77	166.11	18.9305	4.65436	6.7488	7.5273	0.232412	0.362865	0.404723
Seg 14	4347.66	166.024	18.5324	4.25622	6.75134	7.52484	0.216759	0.370402	0.412839
Seg 15	4454.96	165.937	18.1408	3.86452	6.75397	7.5223	0.201085	0.377959	0.420956
Seg 16	4540.07	167.013	16.2653	3.20403	6.21251	6.84876	0.185294	0.38751	0.427196
Seg 17	4624.02	166.938	16.0068	2.94544	6.21442	6.84694	0.173331	0.393318	0.433351
Seg 18	4706.86	166.863	15.7608	2.69931	6.21631	6.84515	0.161564	0.399035	0.439401
Seg 19	4788.65	166.789	15.5262	2.46466	6.21818	6.84337	0.14998	0.404667	0.445353
Seg 20	4873.76	166.713	15.2905	2.22887	6.22013	6.84153	0.137959	0.410515	0.451526
Seg 21	4921.81	168.403	8.45207	1.05901	3.56913	3.82393	0.113753	0.427851	0.458395
Seg 22	4969.58	168.348	8.381	0.98782	3.56988	3.8233	0.107217	0.43109	0.461693
Seg 23	5017.09	168.286	8.3146	0.921431	3.57045	3.82272	0.101008	0.434158	0.464834
Seg 24	5064.56	168.1	8.30447	0.913677	3.56781	3.82298	0.100305	0.434316	0.465379
Seg 25	5114.32	167.907	8.29397	0.905697	3.56502	3.82326	0.099581	0.434474	0.465945
Seg 26	5150.42	168.48	6.90805	0.676874	3.04286	3.18832	0.0883058	0.445205	0.466489
Seg 27	5186.51	168.329	6.90222	0.672454	3.04127	3.18849	0.0878247	0.445309	0.466866
Seg 28	5222.58	168.179	6.89643	0.668087	3.03968	3.18866	0.0873462	0.445411	0.467243
Seg 29	5258.63	168.029	6.8907	0.663772	3.03809	3.18883	0.0868725	0.445511	0.467616
Seg 30	5297.9	167.868	6.88451	0.65916	3.03634	3.18902	0.086366	0.445613	0.468021
Seg 31	5308.01	167.991	4.68722	0.464325	2.03132	2.19157	0.0990538	0.433378	0.467568
Seg 32	5319.32	167.954	4.68596	0.463116	2.03119	2.19166	0.0988222	0.433466	0.467712
Seg 33	5324.93	167.89	3.49762	0.355445	1.51725	1.62493	0.101614	0.4338	0.464586
Seg 34	5330.55	167.871	3.49712	0.354779	1.51736	1.62498	0.101437	0.433894	0.464668
Seg 35	5336.16	167.853	3.49663	0.354112	1.51748	1.62504	0.101261	0.433988	0.464751
Seg 36	5342.71	167.831	3.49606	0.35339	1.51757	1.6251	0.101071	0.434085	0.464844
Seg 37	5345.03	167.513	2.25283	0.225275	1.00071	1.02685	0.0999792	0.444208	0.455813
Seg 38	5347.35	167.505	2.25267	0.224866	1.00094	1.02687	0.0998045	0.444342	0.455854
Seg 39	5349.68	167.497	2.25251	0.224453	1.00117	1.02689	0.0996284	0.444477	0.455895
Seg 40	5353.08	167.485	2.25229	0.223998	1.00138	1.02691	0.0994362	0.444615	0.455949
Seg 41	4887.88	165.948	5.32189	0.82059	2.12948	2.37182	0.13158	0.410832	0.457587
Seg 42	4903.52	165.917	5.30718	0.805862	2.12965	2.37167	0.129663	0.41177	0.458567
Seg 43	4914.21	167.58	3.87225	0.542677	1.60415	1.72542	0.114858	0.426451	0.458691
Seg 44	4924.91	167.553	3.86485	0.53525	1.60427	1.72533	0.113589	0.427092	0.45932
Seg 45	4935.6	167.525	3.85748	0.527853	1.60439	1.72523	0.112313	0.427735	0.459952
Seg 46	4947.41	167.497	3.84938	0.519733	1.60452	1.72513	0.110906	0.428444	0.46065
Seg 47	4955.79	168.604	2.42164	0.278192	1.06671	1.07673	0.0877574	0.453988	0.458254
Seg 48	4964.18	168.58	2.41793	0.274458	1.06682	1.07665	0.0868062	0.454502	0.458691
Seg 49	4972.56	168.555	2.41423	0.270734	1.06693	1.07657	0.085834	0.455027	0.459139
Seg 50	4982.17	168.53	2.41002	0.266484	1.06705	1.07649	0.0847191	0.455625	0.459656


0.111417  	2500      	-         	31965.3   	22245.7   	36643.3   	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W
Seg 0	2500	166.769	53.2364	25.4983	12.3616	15.3765	0.478964	0.232202	0.288834
Seg 1	2655.08	166.861	28.8664	13.1448	7.05892	8.66269	0.444666	0.249342	0.305992
Seg 2	2805.16	166.529	27.8766	12.0685	7.14917	8.65892	0.422233	0.261294	0.316473
Seg 3	2950.94	166.197	27.0219	11.1276	7.23907	8.65525	0.401205	0.272721	0.326074
Seg 4	3092.93	165.871	26.2701	10.2954	7.32308	8.65167	0.381445	0.283555	0.335
Seg 5	3231.58	165.549	25.6032	9.55274	7.40234	8.64817	0.362811	0.293865	0.343324
Seg 6	3367.26	165.227	25.0115	8.88519	7.48157	8.64474	0.345139	0.303814	0.351048
