Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)
days	psi	Mscf/d	stb/d
0         	0         	-         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	X[0]	X[1]	X[2]	
Seg 6	768.52	85.4	0.617034	0.297026	0.320008	0	0.205776	0.794224	0		0.955152	0.0442932	0.00055445	0.206867	0.119666	0.673467	
Seg 7	776.268	85.4	0.611757	0.290831	0.320926	0	0.203304	0.796696	0		0.955349	0.0440924	0.000558697	0.208714	0.119538	0.671747	
Seg 8	784.037	85.4	0.606588	0.284759	0.321829	0	0.200851	0.799149	0		0.955542	0.0438953	0.000563041	0.210562	0.119408	0.670031	
Seg 9	791.824	85.4	0.601522	0.278807	0.322715	0	0.198416	0.801584	0		0.95573	0.0437021	0.000567481	0.212408	0.119275	0.668317	
Seg 10	799.631	85.4	0.596557	0.272973	0.323585	0	0.195999	0.804001	0		0.955915	0.0435126	0.000572019	0.214254	0.119139	0.666606	
Seg 11	807.457	85.4	0.591692	0.267254	0.324438	0	0.1936	0.8064	0		0.956097	0.0433268	0.000576656	0.216099	0.119002	0.664899	
Seg 12	815.302	85.4	0.586922	0.261647	0.325275	0	0.191218	0.808782	0		0.956274	0.0431446	0.000581393	0.217943	0.118862	0.663195	
Seg 13	823.166	85.4	0.582247	0.256151	0.326095	0	0.188855	0.811145	0		0.956448	0.0429659	0.00058623	0.219786	0.118721	0.661493	
Seg 14	831.048	85.4	0.577662	0.250763	0.326899	0	0.18651	0.81349	0		0.956618	0.0427906	0.000591168	0.221628	0.118577	0.659795	
Seg 15	838.948	85.4	0.573167	0.245481	0.327686	0	0.184182	0.815818	0		0.956785	0.0426188	0.000596208	0.223469	0.118431	0.6581	
Seg 16	846.866	85.4	0.568758	0.240302	0.328456	0	0.181871	0.818129	0		0.956948	0.0424503	0.000601352	0.225308	0.118284	0.656408	
Seg 17	854.802	85.4	0.564434	0.235224	0.32921	0	0.179578	0.820422	0		0.957108	0.0422852	0.000606599	0.227146	0.118135	0.654719	
Seg 18	862.756	85.4	0.560193	0.230246	0.329947	0	0.177302	0.822698	0		0.957265	0.0421232	0.000611952	0.228983	0.117983	0.653033	
Seg 19	870.727	85.4	0.556031	0.225365	0.330667	0	0.175044	0.824956	0		0.957418	0.0419644	0.000617411	0.230818	0.117831	0.651351	
Seg 20	878.715	85.4	0.551949	0.220579	0.33137	0	0.172803	0.827197	0		0.957568	0.0418088	0.000622977	0.232652	0.117676	0.649671	
Seg 21	886.72	85.4	0.547943	0.215887	0.332056	0	0.170579	0.829421	0		0.957715	0.0416562	0.000628651	0.234485	0.11752	0.647995	
Seg 22	894.742	85.4	0.544011	0.211281	0.33273	0	0.16837	0.83163	0		0.957859	0.0415066	0.000634434	0.236316	0.117363	0.646322	
Seg 23	902.781	85.4	0.540153	0.206755	0.333398	0	0.166171	0.833829	0		0.958	0.04136	0.000640329	0.238145	0.117204	0.644651	
Seg 24	910.836	85.4	0.536366	0.202305	0.334061	0	0.163982	0.836018	0		0.958137	0.0412164	0.000646334	0.239972	0.117044	0.642984	
Seg 25	918.908	85.4	0.532648	0.19793	0.334718	0	0.161803	0.838197	0		0.958272	0.0410755	0.000652453	0.241798	0.116882	0.64132	
Seg 26	926.996	85.4	0.528999	0.193629	0.33537	0	0.159633	0.840367	0		0.958404	0.0409375	0.000658686	0.243622	0.116719	0.639659	
Seg 27	935.1	85.4	0.525416	0.1894	0.336016	0	0.157474	0.842526	0		0.958533	0.0408023	0.000665034	0.245444	0.116555	0.638002	
Seg 28	943.22	85.4	0.521899	0.185242	0.336656	0	0.155324	0.844676	0		0.958659	0.0406697	0.0006715	0.247264	0.116389	0.636347	
Seg 29	951.357	85.4	0.518445	0.181154	0.337291	0	0.153183	0.846817	0		0.958782	0.0405398	0.000678083	0.249082	0.116223	0.634695	
Seg 30	959.508	85.4	0.515053	0.177134	0.337919	0	0.151051	0.848949	0		0.958903	0.0404126	0.000684785	0.250899	0.116055	0.633047	
Seg 31	967.676	85.4	0.511721	0.17318	0.338541	0	0.148929	0.851071	0		0.95902	0.0402879	0.000691608	0.252713	0.115886	0.631401	
Seg 32	975.859	85.4	0.508449	0.169292	0.339157	0	0.146816	0.853184	0		0.959136	0.0401658	0.000698553	0.254525	0.115716	0.629759	
Seg 33	984.057	85.4	0.505235	0.165469	0.339766	0	0.144711	0.855289	0		0.959248	0.0400461	0.000705622	0.256335	0.115545	0.62812	
Seg 34	992.271	85.4	0.502078	0.161709	0.340369	0	0.142616	0.857384	0		0.959358	0.0399289	0.000712816	0.258144	0.115373	0.626483	
Seg 35	1000.5	85.4	0.498977	0.158011	0.340966	0	0.140529	0.859471	0		0.959466	0.0398141	0.000720136	0.259949	0.1152	0.62485	
Seg 36	1008.74	85.4	0.495929	0.154374	0.341555	0	0.13845	0.86155	0		0.959571	0.0397017	0.000727584	0.261753	0.115027	0.62322	
Seg 37	1017	85.4	0.492935	0.150797	0.342138	0	0.136381	0.863619	0		0.959673	0.0395916	0.000735162	0.263555	0.114852	0.621593	
Seg 38	1025.28	85.4	0.489993	0.147278	0.342714	0	0.134319	0.865681	0		0.959773	0.0394838	0.00074287	0.265354	0.114677	0.619969	
Seg 39	1033.56	85.4	0.487101	0.143818	0.343283	0	0.132267	0.867733	0		0.959871	0.0393782	0.000750711	0.267151	0.114501	0.618349	
Seg 40	1041.87	85.4	0.484259	0.140415	0.343844	0	0.130222	0.869778	0		0.959966	0.0392749	0.000758686	0.268945	0.114324	0.616731	
Seg 41	1050.18	85.4	0.481466	0.137068	0.344398	0	0.128186	0.871814	0		0.960059	0.0391737	0.000766797	0.270738	0.114146	0.615116	
Seg 42	1058.52	85.4	0.47872	0.133776	0.344945	0	0.126158	0.873842	0		0.96015	0.0390747	0.000775045	0.272527	0.113968	0.613505	
Seg 43	1066.86	85.4	0.476021	0.130538	0.345483	0	0.124138	0.875862	0		0.960239	0.0389778	0.000783432	0.274315	0.113789	0.611897	
Seg 44	1075.22	85.4	0.473368	0.127353	0.346014	0	0.122127	0.877873	0		0.960325	0.038883	0.00079196	0.276099	0.113609	0.610291	
Seg 45	1083.59	85.4	0.470759	0.124222	0.346537	0	0.120124	0.879876	0		0.960409	0.0387902	0.00080063	0.277882	0.113429	0.608689	
Seg 46	1091.98	85.4	0.468194	0.121142	0.347052	0	0.118129	0.881871	0		0.960491	0.0386994	0.000809444	0.279662	0.113248	0.60709	
Seg 47	1100.38	85.4	0.465671	0.118114	0.347558	0	0.116142	0.883858	0		0.960571	0.0386106	0.000818404	0.281439	0.113067	0.605494	
